ticket,source_id,cited_by_people,type,citation,date,describes_date,tier,rights_status,url,locator,limitations
T-0462,berrien_eben_griswold,2,website,"Twentieth Century History of Berrien County, Eben Griswold constable entry",accessed 2026-09-01,nineteenth century,4,check_required,https://archive.org/stream/twentiethcentury00cool/twentiethcentury00cool_djvu.txt,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,buck_pioneer_milwaukee,2,website,"James S. Buck, Pioneer History of Milwaukee",accessed 2026-09-01,nineteenth century,4,check_required,https://upload.wikimedia.org/wikipedia/commons/4/4c/Pioneer_history_of_Milwaukee_%28IA_cu31924070693969%29.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,buffalo_nehemiah_case,2,website,"Buffalo city directory, Nehemiah Case entry",accessed 2026-09-01,nineteenth century,4,check_required,https://cdm16694.contentdm.oclc.org/digital/api/collection/VHB011/id/3028/download,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,chm_eliza_chappel,2,website,"Chicago Historical Society, My Chicago: Eliza Chappel",accessed 2026-09-01,nineteenth century,4,check_required,https://www.chicagohistory.org/app/uploads/2016/10/MyChicagointro.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,chm_george_snow_assessor,1,website,"Chicago Historical Society annual report, George W. Snow",accessed 2026-09-01,nineteenth century,4,check_required,https://archive.org/stream/annualreport39socigoog/annualreport39socigoog_djvu.txt,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,chm_ira_couch_portrait,1,website,"Chicago History Museum, Ira Couch portrait authority record",accessed 2026-09-01,nineteenth century,4,check_required,https://images.chicagohistory.org/asset/30376/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,chm_thomas_owen_papers,1,website,"Chicago History Museum, Thomas J. V. Owen papers finding aid",accessed 2026-09-01,nineteenth century,4,check_required,https://explore.chicagocollections.org/marcxml/chicagohistory/30/4f1nx64/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,cpl_john_s_wright_papers,1,website,"Chicago Public Library, John S. Wright Papers finding aid",accessed 2026-09-01,nineteenth century,4,check_required,https://www.chipublib.org/fa-john-s-wright-papers-2/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,cpn_beaubien_family,1,website,"Citizen Potawatomi Nation Cultural Heritage Center, Beaubien Family",accessed 2026-09-01,nineteenth century,4,check_required,https://www.potawatomiheritage.com/encyclopedia/beaubien-family/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,cpn_madore_beaubien,1,website,"Citizen Potawatomi Nation Cultural Heritage Center, Madore Beaubien",accessed 2026-09-01,nineteenth century,4,check_required,https://www.potawatomiheritage.com/encyclopedia/beaubien-madore-b/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,desplaines_gardner_brooks,2,website,Centi-Quad-O-Rama: Des Plaines anniversary history,accessed 2026-09-01,nineteenth century,4,check_required,https://www.scribd.com/doc/24474797/Centi-Quad-O-Rama-Des-Plaines-125th-Anniversary-1835-1960,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,dupage_constant_abbott,2,website,"History of DuPage County, Constant Abbott entries",accessed 2026-09-01,nineteenth century,4,check_required,https://archive.org/download/historyofdupage00blan/historyofdupage00blan.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_balloon_frame,1,website,"Encyclopedia of Chicago, Balloon Frame",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/105.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_biographical_p,1,website,"Encyclopedia of Chicago, biographical index P",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/browse/bioP.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_church_architecture,1,website,"Encyclopedia of Chicago, Church Architecture",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/1058.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_food_processing,1,website,"Encyclopedia of Chicago, Food Processing: Local Market",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/468.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_mark_beaubien,1,website,"Encyclopedia of Chicago, Mark Beaubien biography",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/10904.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_newspapers,1,website,"Encyclopedia of Chicago, Newspapers",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/889.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,encyclopedia_chicago_potawatomis,1,website,"Encyclopedia of Chicago, Potawatomis",accessed 2026-09-01,nineteenth century,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/1001.html,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,first_presbyterian_chicago_1833_1913,2,website,"The First Presbyterian Church, 1833–1913",accessed 2026-09-01,nineteenth century,4,check_required,https://upload.wikimedia.org/wikipedia/commons/1/1d/The_First_Presbyterian_church%2C_1833-1913%3B_a_history_of_the_oldest_organization_in_Chicago%2C_with_biographical_sketches_of_the_ministers_and_extracts_from_the_choir_records_%28IA_firstpreschurch00otis%29.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,goodman_history_cook_county_hamilton,1,website,"History of Cook County, Richard Jones Hamilton offices",accessed 2026-09-01,nineteenth century,4,check_required,https://libsysdigi.library.uiuc.edu/OCA/Books2009-04/historyofcookcou/historyofcookcou01good/historyofcookcou01good_djvu.txt,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,im_canal_albert_dow,2,website,"Illinois River Road, I&M Canal Toll House",accessed 2026-09-01,nineteenth century,4,check_required,https://www.illinoisriverroad.org/places/united-states/illinois/ottawa/attractions/i-m-canal-toll-house/,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,indigenous_chicago_alexander_robinson,2,website,"Indigenous Chicago, Alexander Robinson profile",accessed 2026-09-01,nineteenth century,4,check_required,https://map.indigenous-chicago.org/pr/indigenous-chicago/post/12396165-bc1e-4edf-9198-b8588839bc9f,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,ingale_early_chicago_reminiscence,1,website,"Reminiscence of Early Chicago, Hiram Pearsons passage",accessed 2026-09-01,nineteenth century,4,check_required,https://dn720304.ca.archive.org/0/items/reminiscenceofe00ingale/reminiscenceofe00ingale.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,kaneville_amanda_miner,2,website,"Kaneville Township History, Amos and Amanda Miner",accessed 2026-09-01,nineteenth century,4,check_required,https://www.kanevilletownship.com/township_history.htm,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,kinzie_waubun_1856,1,book,"Kinzie, Juliette A. M. Wau-Bun: The 'Early Day' in the North-West. New York: Derby & Jackson, 1856.",1856,1831,2,public_domain,https://www.authorama.com/wau-bun-19.html,"ch. XVII, 'Chicago in 1831'","The only near-contemporary descriptive text for the Wolf Point buildings. Load-bearing for the Sauganash: 'a pretentious white two-story building, with bright-blue wooden shutters, the admiration of all the little circle at Wolf Point.' Written 25 years after the events and describing 1831, not 1835 — hence tier 2 and the describes_date field. Also the source for the Indian Agency house ('logs hewed and squared, with a centre, two wings') and for the Wolf Point name deriving from an Indian resident called Moa-way, 'the Wolf'."
T-0462,lasalle_thomas_covell,2,website,"History of La Salle County, Thomas R. Covell",accessed 2026-09-01,nineteenth century,4,check_required,https://ia801903.us.archive.org/27/items/cihm_14681/cihm_14681.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,michigan_frederick_curtenius,2,website,"Michigan Department of Military and Veterans Affairs, Frederick W. Curtenius",accessed 2026-09-01,nineteenth century,4,check_required,https://www.michigan.gov/dmva/about/history/military-personalities/team-listing-page/frederick-w-curtenius,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,norris_chicago_directory_1843,1,website,"J. W. Norris, General Directory and Business Advertiser of Chicago for 1843",accessed 2026-09-01,nineteenth century,4,check_required,https://archive.org/download/generaldirector00norr/generaldirector00norr.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,nps_bailly_homestead,2,website,"National Park Service, Joseph Bailly Homestead nomination",accessed 2026-09-01,nineteenth century,4,check_required,https://npgallery.nps.gov/GetAsset/8277bfa4-97d5-43b3-a1c8-63020e08cdf3,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,nwchicago_elijah_wentworth,1,website,"Northwest Chicago Historical Society, Elijah Wentworth Sr.",accessed 2026-09-01,nineteenth century,4,check_required,https://nwchicagohistory.org/wp-content/uploads/2020/09/NWCHSJan-2020.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,pal_chicago_incorporation_1835,1,website,"Papers of Abraham Lincoln, Act to Incorporate Chicago",accessed 2026-09-01,nineteenth century,4,check_required,https://papersofabrahamlincoln.org/documents/D251446,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0462,pal_giles_spring,1,website,"Papers of Abraham Lincoln, Giles Spring person record",accessed 2026-09-01,nineteenth century,4,check_required,https://papersofabrahamlincoln.org/persons/SP16925,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
