ticket,person_id,person_name,candidate_id,candidate_name,assessment,asserted,basis,conflicts,source_ids
T-0462,bailly_joseph,Joseph Bailly,bailly_joseph-c1,Honoré Gratien Joseph Bailly de Messein,strong,no,"Exact shortened name, regional trade network and matching period.",Documented Porter County residence; no source links him to this letter.,nps_bailly_homestead
T-0462,chappel_eliza_mir,Eliza Mir Chappel,chappel_eliza_mir-c1,Eliza Chappel Porter,strong,no,"Exact maiden name, unique Chicago chronology and title-like transcription.",The scan is unavailable; Mir-to-Miss remains unverified.,rochester_porter_chappel_marriage
T-0462,curtenius_fredk,Fred'k. Curtenius,curtenius_fredk-c1,Frederick William Curtenius,possible,no,"Distinctive surname, age and same-year westward chronology.",Middle initial differs and the source supplies no Chicago link.,michigan_frederick_curtenius
T-0462,brooks_gardner,Gardner Brooks,brooks_gardner-c1,Gardner Brooks of Des Plaines,strong,no,"Exact uncommon name, Cook County and 1833 settlement.",No direct link to the Chicago post-office entry.,desplaines_gardner_brooks
T-0462,burdick_paul,Paul Burdick,burdick_paul-c1,Paul Burdick of Milwaukee,strong,no,"Exact name, Great Lakes region and same-year residence.",Milwaukee residence; no linking Chicago record.,buck_pioneer_milwaukee
T-0462,case_nehemiah,Nehemiah Case,case_nehemiah-c1,Nehemiah Case of Buffalo,rejected,no,Exact name and period.,Buffalo geography and no Chicago discriminator.,buffalo_nehemiah_case
T-0462,covell_thomas_r,Thomas R. Covell,covell_thomas_r-c1,Thomas R. Covell of Salt Creek,strong,no,Exact full name and dated Cook County migration.,Salt Creek lay outside Chicago town; no explicit link to the letter.,lasalle_thomas_covell
T-0462,dow_albert_f,Albert F. Dow,dow_albert_f-c1,Albert F. Dow of Ottawa,possible,no,Exact name and later Illinois canal career.,No 1835 migration or household bridge.,im_canal_albert_dow
T-0462,fairchilds_ransom,Ransom Fairchilds,fairchilds_ransom-c1,Ransom Fairchild of Michigan,possible,no,Near-exact name and regional chronology.,No Chicago link; name normalization unverified.,
T-0462,felch_alaneon,Alaneon Felch,felch_alaneon-c1,Alson Felch of Racine,possible,no,Rare similar name and regional chronology.,Given-name reading differs and no migration bridge exists.,whs_alson_felch
T-0462,ford_ebenezer,Ebenezer Ford,ford_ebenezer-c1,Ebenezer Ford of the Fort Dearborn garrison,strong,no,"Exact name, Chicago institution and 1833 chronology.",The roster does not explicitly identify the later letter recipient.,first_presbyterian_chicago_1833_1913
T-0462,galusha_ezra,Ezra Galusha,galusha_ezra-c1,Ezra Galusha of Warrenville,strong,no,"Exact uncommon name, nearby geography and 1834 arrival.",No record directly links him to the letter; documented hinterland residence.,warrenville_ezra_galusha
T-0462,parcel_aaron,Aaron Parcel,parcel_aaron-c1,Aron Parcell letter-list record,possible,no,Near-identical uncommon name in the same post-office corpus.,Different return dates and no linking record.,
T-0462,parcell_aron,Aron Parcell,parcell_aron-c1,Aaron Parcel letter-list record,possible,no,Near-identical uncommon name in the same post-office corpus.,Different return dates and no linking record.,
T-0462,murray_alonzo,Alonzo Murray,murray_alonzo-c1,Alonzo Murry letter-list record,strong,no,Exact given name and one-letter surname variant in the same post-office corpus.,No external bridge.,
T-0462,murry_alonzo,Alonzo Murry,murry_alonzo-c1,Alonzo Murray letter-list record,strong,no,Exact given name and one-letter surname variant in the same post-office corpus.,No external bridge.,
T-0462,house_chester,Chester House,house_chester-c1,Chester House of House's Grove,strong,no,"Rare exact name, contemporaneous land ownership and 1833 local claim.",Hinterland residence; Judith versus Lucinda spouse conflict.,talcott_chester_house_1835
T-0462,filer_elihu_d,Elihu D. Filer,filer_elihu_d-c1,Elihu D. Filer of Racine,possible,no,"Exact full name, trade and regional chronology.",No Chicago-to-Racine migration bridge.,whs_elihu_filer_house
T-0462,miner_amanda,Amanda Miner,miner_amanda-c1,Amanda Miner of Kaneville,strong,no,"Exact name, adjacent county and one-year chronology.","No direct bridge to the Chicago letter; printed 2 counts letters, not people.",kaneville_amanda_miner
T-0462,vann_angeline,Angeline Vann,vann_angeline-c1,Angeline Vann of Missouri,rejected,no,Exact name only.,Born 1834 and later Missouri geography.,
T-0462,abbott_constant,Constant Abbott,abbott_constant-c1,Dr. Constant Abbott,strong,no,Rare exact name and adjacent-county chronology.,No direct Chicago link.,dupage_constant_abbott
T-0462,griswold_eben,Eben Griswold,griswold_eben-c1,Eben Griswold of Berrien County,possible,no,Exact name and plausible regional geography.,No chronology or identifier links him to the letter.,berrien_eben_griswold
T-0462,makepiece_george_r,George R. Makepiece,makepiece_george_r-c1,George R. Makepeace of Joliet,strong,no,"Near-exact rare name, middle initial and dated travel chronology.",Makepiece/Makepeace variant unverified; no direct letter link.,will_george_makepeace
