ticket,person_id,person_name,query,date_searched,result,result_summary,sources_returned
T-0463,beckford_printer,Beckford,"""Beckford"" Chicago 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,beckford_printer,Beckford,"""Beckford"" Illinois 1834 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,beckford_printer,Beckford,"""Beckford"" genealogy occupation migration",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,blodgett_tyler_k,Tyler K. Blodgett,"""Tyler K. Blodgett"" Chicago 1835",2026-09-01,found,A contemporary-recollection compilation independently identifies Tyler K. Blodgett's 1833 north-bank brickyard and brick house. It supports the exact name and trade but does not establish his 1 July 1835 roof.,ingale_early_chicago_reminiscence
T-0463,blodgett_tyler_k,Tyler K. Blodgett,"""Tyler K. Blodgett"" Illinois 1834 1835",2026-09-01,found,A contemporary-recollection compilation independently identifies Tyler K. Blodgett's 1833 north-bank brickyard and brick house. It supports the exact name and trade but does not establish his 1 July 1835 roof.,ingale_early_chicago_reminiscence
T-0463,blodgett_tyler_k,Tyler K. Blodgett,"""Tyler K. Blodgett"" genealogy occupation migration",2026-09-01,found,A contemporary-recollection compilation independently identifies Tyler K. Blodgett's 1833 north-bank brickyard and brick house. It supports the exact name and trade but does not establish his 1 July 1835 roof.,ingale_early_chicago_reminiscence
T-0463,brown_lemuel,Lemuel Brown,"""Lemuel Brown"" Chicago 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,brown_lemuel,Lemuel Brown,"""Lemuel Brown"" Illinois 1834 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,brown_lemuel,Lemuel Brown,"""Lemuel Brown"" genealogy occupation migration",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,brown_rufus,Rufus Brown,"""Rufus Brown"" Chicago 1835",2026-09-01,found,The First Presbyterian history describes Rufus Brown's log boarding house as full during the church's earliest period. It corroborates the exact-name lodging role; it does not name Mrs Brown or resolve a street address.,first_presbyterian_chicago_1833_1913
T-0463,brown_rufus,Rufus Brown,"""Rufus Brown"" Illinois 1834 1835",2026-09-01,found,The First Presbyterian history describes Rufus Brown's log boarding house as full during the church's earliest period. It corroborates the exact-name lodging role; it does not name Mrs Brown or resolve a street address.,first_presbyterian_chicago_1833_1913
T-0463,brown_rufus,Rufus Brown,"""Rufus Brown"" genealogy occupation migration",2026-09-01,found,The First Presbyterian history describes Rufus Brown's log boarding house as full during the church's earliest period. It corroborates the exact-name lodging role; it does not name Mrs Brown or resolve a street address.,first_presbyterian_chicago_1833_1913
T-0463,brown_mrs_rufus,Mrs Rufus Brown,"""Mrs Rufus Brown"" Chicago 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
T-0463,brown_mrs_rufus,Mrs Rufus Brown,"""Mrs Rufus Brown"" Illinois 1834 1835",2026-09-01,no result,"No reliable record found in the reviewed contemporary, institutional, local-history and index searches could be tied to this person by more than the recorded name. This is a documented no-find, not evidence that the person did not exist.",
