year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
"CHI1876-001","Blue Island Avenue viaduct","Blue Island Avenue-Throop Street viaduct","1875","1876","exact","1876","","","","demolished/replaced","Blue Island Avenue at Throop Street over railroad tracks","","","","railroad_viaduct","grade-separated street crossing","Cox Brothers (substructure); Keystone Bridge Company (superstructure)","City of Chicago and affected railroads","wrought-iron truss and plate girders","","","completion_phase","","Iron and masonry infrastructure was consistent with post-fire preferences for durable construction, although grade separation was its primary purpose.","Begun October 15, 1875 and completed August 25, 1876. Andreas reports a total cost of $102,173.99.","ANDREAS_V3","high","false"
"CHI1876-002","Milwaukee Avenue viaduct","Milwaukee Avenue railroad viaduct","","1876","exact","1876","","","","demolished/replaced","Milwaukee Avenue over the Chicago & North Western, Chicago Milwaukee & St. Paul, and Pittsburgh Chicago & St. Louis railroad tracks","","","","railroad_viaduct","grade-separated street crossing","American Bridge Company (south portion); Leighton Bridge Company (north portion)","City of Chicago and affected railroads","iron bridge superstructure; substructure not stated","","","new_infrastructure","","Large iron infrastructure reflected the post-fire shift toward durable, noncombustible public works.","Opened May 25, 1876. Andreas called it the city's largest and most expensive viaduct and reported a cost of $140,371.55; the construction start was not located.","ANDREAS_V3","high","true"
"CHI1876-003","Fuller Street Bridge destruction","Fuller Street wooden bridge","1865","1865","exact","1865","1876","exact","destroyed by the gale of May 5, 1876","destroyed","Fuller Street crossing of the Chicago River","","","","bridge","street and pedestrian river crossing","","City of Chicago","wood","","","destruction_event","","The destroyed wooden bridge predated the 1874 citywide prohibition on new wood construction.","The $7,500 wooden bridge erected in 1865 was destroyed on May 5, 1876. This is a physical-loss event, not 1876 construction.","ANDREAS_V3","high","false"
"CHI1876-004","West Division Pumping Works extension project","West Side Pumping Works extension","1876","1884","exact","1884","","","","demolished/unknown","West Division waterworks site","","","","waterworks","municipal water pumping","","City of Chicago","industrial pumping plant and machinery","","","project_initiation_planning","West Division Pumping Works","Water-supply expansion was a post-fire resilience investment; precise ordinance and fireproofing requirements require engineering-record review.","Andreas says the extension was projected in 1876 and entered regular service in July 1884. Reported machinery cost was $257,500 and total project cost $371,681.01. No 1876 completion is claimed.","ANDREAS_V3","medium","true"
"CHI1876-005","Cook County Hospital clinical amphitheater and corridors","Cook County Hospital amphitheater phase","1876","1877","year_range","1877","","","","demolished/replaced","Between Wood and Lincoln Streets and Harrison and Polk Streets","Cook County Health campus near 1835 W Harrison St","41.8730","-87.6718","hospital_addition","clinical teaching amphitheater and pavilion connections","","Cook County","red brick with stone trim; 600-seat amphitheater","","","construction_start_or_major_phase","Cook County Hospital pavilion complex","Masonry institutional additions reflected post-fire concern for separation and fire resistance, outside the 1871 burned district.","The clinical amphitheater and connecting corridors were built during 1876-77. The 600-seat amphitheater is retained as a distinct phase, not counted as a 1876 completion.","ANDREAS_V3","high","false"
"CHI1876-006","St. Patrick's Female Academy","St. Patrick's girls' school; St. Patrick's female school","1876","1876","exact","1876","","","","demolished/unknown","Adams Street immediately west of St. Patrick's Church","","","","school","Catholic girls' academy","","St. Patrick's Catholic parish; Sisters of Charity of St. Vincent de Paul","brick masonry","","","new_construction","Frame school immediately west of St. Patrick's Church","Brick construction conformed to the post-1874 citywide prohibition on new wood buildings.","A large twelve-room brick school was erected in 1876 at a reported cost of about $24,000 and accommodated roughly 500 pupils. Andreas uses both academy and school language.","ANDREAS_V3","high","true"
"CHI1876-007","St. Michael's clergy house reconstruction","St. Michael's parsonage restoration","1872","1876","exact","1876","","","","extant/altered/uncertain","St. Michael's parish property near North Avenue and New Church Street","Near 1633 N Cleveland Ave","","","clergy_house","Catholic clergy residence","","St. Michael's Catholic parish","masonry; surviving and reconstructed fabric","","","completed_reconstruction","Clergy house damaged in the Great Chicago Fire","The work restored fire-damaged institutional fabric rather than creating a wholly new building.","Partly restored in 1872, the clergy house was completed in 1876. The current building's degree of surviving 1876 fabric requires architectural survey.","ANDREAS_V3","high","true"
"CHI1876-008","St. Joseph's Catholic Church construction","St. Joseph Church","1876","1878","exact","1878","","","","demolished/unknown","Northeast corner of Market and Hill Streets","","","","church","Catholic worship","","St. Joseph's Catholic parish","brick masonry","","","construction_start_cornerstone","","Brick construction complied with the post-1874 citywide restriction on new wood buildings.","Cornerstone laid in October 1876; the approximately $40,000 church was dedicated October 6, 1878. Included for its exact start event, not as a 1876 completion.","ANDREAS_V3","high","false"
"CHI1876-009","St. Joseph's Home initial construction","St. Joseph's Home for the Friendless; industrial school and refuge","1876","1885","year_range","","","","","demolished/unknown","Corner of May and Eleventh Streets","","","","institutional_home","industrial school and refuge for homeless girls","","Catholic charitable institution","material not stated","","","construction_start_or_major_phase","","A charitable-institution project after the fire; material and code compliance require permit or diocesan confirmation.","The home was commenced in 1876 and later enlarged and completed in 1885 at a reported cost of $16,000. Its first usable phase and opening year remain unresolved.","ANDREAS_V3","medium","true"
"CHI1876-010","Jefferson Park Presbyterian Church construction","Jefferson Park Presbyterian Church","1876","1877","exact","1877","","","","demolished/unknown","Northeast corner of West Adams and Throop Streets","","","","church","Presbyterian worship","","Jefferson Park Presbyterian congregation","brick masonry; amphitheater-plan auditorium","","","construction_start_or_major_phase","","Brick construction complied with the post-1874 citywide restriction on new wood buildings.","Construction began in summer 1876. The more-than-$45,000 church, seating about 800, was dedicated January 6, 1877.","ANDREAS_V3","high","false"
