source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
ANDREAS_V3,"History of Chicago, Volume III: From the Fire of 1871 Until 1885","A. T. Andreas","A. T. Andreas",1886,"https://archive.org/details/historyofchicago03andruoft","digitized historical monograph","Tier 2","printed pp. 79, 210-212, 329, 337, 377-378, 461-462, 526-527, 664-665, 676-677, 765, 769-770, 797-799, 805-806","2026-08-03","Public domain; Internet Archive scan/OCR; cite item and printed page.","Primary compilation used for named 1874 construction phases and the July 1874 fire/code context; OCR-sensitive facts were checked against page context."
CITY_ENGINE27,"Former Engine Company 27","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=11974","municipal landmark record","Tier 1","Year Built, Address, Architect, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports 1874 construction and a 1907 addition."
CITY_JACKSON,"Jackson-Thomas House","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1339","municipal landmark record","Tier 1","Year Built, Address, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports 1874 construction for Andrew B. Jackson and later L. H. Thomas ownership."
CITY_WARD,"James Ward Public School","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=11394","municipal landmark record","Tier 1","Year Built, Address, Architect, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Header gives 1874-75; narrative describes the original school as built in 1875 and later additions in 1897 and 1924."
CITY_RACE,"Stephen A. Race House","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1408","municipal landmark record","Tier 1","Year Built, Address, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports 1874 construction, 1905 relocation, and later alterations."
CITY_SECOND_PRES,"Second Presbyterian Church","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1422","municipal landmark record","Tier 1","Year Built, Address, Architect, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports 1874 construction and reconstruction after the 1900 fire."
CITY_WASHINGTON,"Washington Block","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1449","municipal landmark record","Tier 1","Year Built, Address, Architect, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports 1873-74 construction by Frederick and Edward Baumann."
CITY_IGNATIUS,"St. Ignatius College Prep Building","Commission on Chicago Landmarks","City of Chicago",,"https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1429","municipal landmark record","Tier 1","Year Built, Address, Architect, Description","2026-08-03","City web content; verify reuse terms before redistributing images.","Reports main building begun 1869 and west addition in 1874."
OLD_TOWN_NRHP,"Old Town Triangle Historic District National Register nomination","National Park Service / Illinois Historic Preservation Agency","National Park Service",1984,"https://www.oldtowntriangle.com/wp-content/uploads/2018/12/National_Historic_Register_Approval-1984.pdf","historic district nomination","Tier 1","Section 7 building inventory; continuation item 8, p. 25","2026-08-03","Federal nomination text is public domain; photographs/scans may have separate rights.","Inventory identifies the Frederick and Charles Wacker residences at 1838 and 1836 N. Lincoln Park West and gives 1874 dates; 1836's later move/remodel requires separate phase modeling."
FOURTH_HISTORY,"Back and Fourth History, Part 2","Fourth Presbyterian Church","Fourth Presbyterian Church",,"https://www.fourthchurch.org/about/history/part-2.html","institutional history","Tier 1","Rush and Superior sanctuary","2026-08-03","Institutional site content; seek permission before reusing photographs.","Names architect John R. Neff and says the church was dedicated in early 1874."
