year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI-1874-001,Palmer House (second building),Palmer House Hotel; second Palmer House,1871,1874,reported completion year,1873,1923,year,replaced by present hotel,demolished/replaced,State and Monroe Streets,,,,hotel,hotel,John M. Van Osdel (architect); Thomas Sollitt (builder/superintendent),Potter Palmer,masonry exterior with fire-resistive claims,7,,completion phase,Palmer House destroyed October 1871,Within the 1871 fire limits; post-fire masonry and interior-safety rules applied.,"Andreas says Thomas Sollitt completed the Palmer House during 1874, while other summaries use an earlier opening or a 1875 completion. This row preserves the 1874 materially documented completion phase rather than treating opening as completion.",ANDREAS_V3,medium,true
CHI-1874-002,Cook County Criminal Court House and Jail complex,Cook County Criminal Court and County Jail,1873,1874,exact year,1874,1892,mixed/partial,court building replaced; jail survived longer,demolished,"Dearborn Street at Hubbard Street; block bounded by Michigan (Hubbard), Dearborn, Illinois, and Clark Streets",,,,government and correctional complex,"criminal court, county jail, sheriff/jailer residence",Armstrong & Egan,Cook County,masonry complex,,,complex completion and opening phase,North Market Hall site; post-fire replacement of county facilities,Within the 1871 fire limits; designed during the post-fire rebuilding and subject to masonry/fire-safety requirements.,The residence wing was occupied in February 1874 and the complex was expected ready by May 1; Chicago History Museum describes courthouse and jail as completed in 1874. Court and jail are kept as one complex-phase record because the contemporary account treats coordinated construction.,CHM_CRIMINAL;CHICAGOLOGY_CRIMINAL,high,false
CHI-1874-003,American Express Company Building,American Merchants Union Express Company Building,1872,1874,opening-supported completion,1874,1930,exact year,fire damage and demolition,demolished,72-78 Monroe Street,21-29 W Monroe St,,,commercial office and freight building,"express-company offices, freight handling, stores, halls",Henry Richardson,American Express Company,masonry with hardwood interior construction,6,,completion and opening phase,post-fire replacement for company quarters,Within the 1871 fire limits; six-story post-fire commercial construction.,"The company announced removal into its new building on February 2, 1874. The Land Owner described a 90-by-190-foot, six-story-and-basement building begun in 1872; occupancy is direct, construction completion is inferred from the move-in and contemporary illustration.",CHICAGOLOGY_AMEX,high,false
CHI-1874-004,Washington Block,,1873,1874,year range endpoint,1874,,"","",extant,Washington and Wells Streets,40 N Wells St,,,office block,offices and commercial space,Frederick Baumann; Edward Baumann,,limestone masonry on isolated-pier foundation,5,,completion phase,,Within the 1871 fire limits; masonry and foundation experimentation followed the fire.,City landmark record dates construction 1873-74 and emphasizes the Baumanns' isolated-pier foundation and tall load-bearing masonry design.,CITY_WASHINGTON,high,false
CHI-1874-005,W. M. Hoyt wholesale building,W. M. Hoyt Building II,1874,1874,directory-reported year,1874,,,"",demolished/unknown date,North Dearborn Street near Kinzie Street,,,,commercial warehouse/store,wholesale grocery trade,,William M. Hoyt,brick masonry,3,,new construction,,Within the 1871 fire limits; brick construction conforms to the post-fire ban on wood.,"The 1874 Lakeside directory describes a three-story brick building approximately 25 by 80 feet. Exact lot number, architect, and demolition date remain unresolved.",CHICAGOLOGY_HOYT,medium,true
CHI-1874-006,Moody & Waters pie factory,Moody and Waters bakery building,1874,1874,season-specific contemporary-history report,1874,"","",manufacturing moved to a newer building; structure reused,later fate unknown,Green Street near Lake Street,,,,industrial bakery,pie factory,unknown,Moody & Waters,brick and stone,3,,replacement new construction,20-by-36-foot one-and-a-half-story frame factory on the same lot,Location may have been near or outside the fire-limit edge; brick-and-stone replacement reflects post-fire industrial rebuilding practice.,"Erected spring 1874 on the old factory site; 35 by 126 feet. After an 1880 factory addition, this structure became offices, wagon house, and stable.",ANDREAS_V3,high,false
CHI-1874-007,C. J. L. Meyer Chicago factory,C.J.L. Meyer sash and door factory,1874,1874,exact year,1874,,,"",later fate unknown,North Pier,,,,industrial millwork factory,"stairs, railings, balusters, sash, doors, and window frames",,C. J. L. Meyer,,"",,new construction,,Post-fire industrial construction; exact fire-limit location and structural material require confirmation.,"Andreas states that Meyer erected a Chicago factory in 1874 and links it with a large North Pier lumber yard. Address, dimensions, and structural system are not given.",ANDREAS_V3,medium,true
CHI-1874-008,A. S. Piper & Co. ice-tool factory,Piper ice tool and wagon works,1874,1874,exact year,1874,,,"",later fate unknown,Ogden Avenue and Leavitt Street,,,,industrial factory,"ice tools, specialized wagons, and related equipment",,A. S. Piper & Co.,,"",,new construction,,West-side industrial location; fire-limit applicability needs parcel-level confirmation.,Andreas describes a large building erected in 1874 where the firm began manufacturing ice-industry tools and wagons.,ANDREAS_V3,high,false
CHI-1874-009,Illinois Charitable Eye and Ear Infirmary,Illinois Eye and Ear Infirmary,1874,1874,exact year,1874,,,"",demolished/unknown date,Peoria and West Adams Streets,,,,hospital/infirmary,ophthalmic and aural hospital,unknown,Illinois Charitable Eye and Ear Infirmary; State of Illinois; Chicago Relief and Aid Society,brick with stone trim,,,post-fire reconstruction,"Infirmary destroyed October 9, 1871",Post-fire institutional rebuilding in masonry; precise fire-limit status needs confirmation.,"The 1874 building cost $42,693, accommodated more than 100 patients, and replaced temporary quarters at 137 N Morgan Street. The state supplied $28,000 and Relief and Aid funds helped buy the site.",ANDREAS_V3,high,false
CHI-1874-010,Former Engine Company 27,Engine Company 27 firehouse,1874,1874,exact year,1874,,"","",extant/altered,1244 N Wells Street,1244 N Wells St,,,firehouse,horse-drawn fire apparatus and company quarters,unknown,City of Chicago,brick masonry,2,,new construction,,Near North Side construction after the Great Fire; masonry storefront-like facade.,Chicago's oldest intact firehouse; a rear/additional phase was built in 1907.,CITY_ENGINE27,high,false
