year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1872-001,Page Brothers Building,"McCarthy Building; State-Lake Building",1872,1872,year-only,1872,,,,extant-altered,"177-191 North State Street; north facade on Lake Street","177-191 N State St",41.885472,-87.627594,commercial loft,"retail and commercial",John M. Van Osdel,Page Brothers,"masonry with cast-iron north facade",4,,reconstruction,"pre-fire commercial building on site","Built during the first-year rebuilding under the post-fire fire-limits regime; its surviving cast-iron facade preserves a construction technique common before the fire.","Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.","CITYLANDMARKS_API;CITYLANDMARKS_WEB",high,false
CHI1872-002,Holden Block,,1872,1872,year-only,1872,,,,extant,"1027 West Madison Street","1027 W Madison St",41.881418,-87.653264,commercial block,"commercial lofts and stores",Stephen V. Shipman,Charles C. P. Holden,"masonry; Buena Vista sandstone facade",4,,new_construction,,"Post-fire Near West Side construction; the source links the building to rapid development after the fire without claiming it stood in the burned district.","Rare surviving Italianate commercial block with date and Holden name carved at the roofline.","CITYLANDMARKS_API;CITYLANDMARKS_WEB",high,false
CHI1872-003,John and Clara Merchant House,"Merchant House",1872,1872,approximate,1872,,,,extant,"Irving Park settlement","3854 N Kostner Ave",41.951474,-87.738451,house,residence,"George E. Woodward pattern-book Design No. 2",John and Clara Merchant,"wood-frame Second Empire house; mansard roof",2,,new_construction,,"Outside Chicago's 1872 municipal limits and outside the burned district; no post-fire ordinance inference.","Official City source dates the house circa 1872. Included because it lies within present Chicago and documents Irving Park's railroad-suburb development; historical-jurisdiction flag should be retained.","CITYLANDMARKS_API;CITYLANDMARKS_WEB",high,true
CHI1872-004,Lake-Franklin Group,"Lake Street mercantile loft group",1872,1875,range,,,,,extant,"227-235 West Lake Street and 173-191 North Franklin Street","227-235 W Lake St & 173-191 N Franklin St",41.885408,-87.635135,commercial block,"wholesaling and manufacturing","Burling & Adler; George H. Edbrooke",,"masonry mercantile lofts with cast-iron columns",4,,construction_start,,"Direct product of rebuilding after the 1871 fire; official narrative identifies characteristic post-fire commercial architecture.","Official date range is 1872-1875 and does not identify which surviving component began in 1872; retained as a start-year group record pending parcel-level permit research.","CITYLANDMARKS_API;CITYLANDMARKS_WEB",high,true
CHI1872-005,Delaware Building,,1872,1874,range,,,,,extant-altered,"36 West Randolph Street","36 W Randolph St",41.884630,-87.629276,commercial building,"retail and offices","Wheelock & Thomas; Julius H. Huber (1889 work)",,"cast-iron base; precast concrete upper facade",5,,construction_start,,"One of the few surviving Loop structures from the immediate post-fire rebuilding; 1889 work must be separated.","Official date range is 1872-1874. Huber's steel-framed atrium, two added stories and lower-floor redesign belong to 1889.","CITYLANDMARKS_API;CITYLANDMARKS_WEB",high,true
CHI1872-006,Temporary City Hall and Court House,"Old Rookery; Temporary Court House",1871,1872,exact,1872,1885,year-only,redevelopment,demolished,"southeast corner Adams and LaSalle Streets",,,,government building,"city offices, courts, recorder and law library",,"City of Chicago","brick masonry built around former water-tank substructure",,,reconstruction,"city and county offices destroyed in 1871 fire","Hastily built permanent-looking municipal replacement within the fire district; Andreas calls it a pile of brick and mortar lacking conveniences.","Authorized within a week of the fire, covered about 178 feet square, completed and occupied by January 1 1872, and cost about $75,000 furnished.",AND1886V3,high,false
CHI1872-007,Chamber of Commerce II,"Board of Trade Chamber of Commerce",1871,1872,exact,1872,1890,year-only,redevelopment,demolished,"southeast corner Washington and LaSalle Streets",,,,exchange building,"commodity exchange and offices","Cochrane & Miller","Chamber of Commerce Building Association","stone masonry",3,,reconstruction,"Chamber of Commerce I destroyed in 1871 fire","Prominent masonry reconstruction inside the fire limits.","Completed before and formally occupied on the fire's first anniversary, October 9 1872; Andreas reports cost about $365,000.","AND1886V3;TAYLOR1917CBOT;CHICAG_REBUILD",high,false
CHI1872-008,Chicago Tribune Building II,"Tribune Building",1871,1872,exact,1872,1901,year-only,redevelopment,demolished,"southeast corner Dearborn and Madison Streets",,,,newspaper office,"newspaper offices and printing","Burling & Adler","Chicago Tribune","masonry; iron roof; largely noncombustible floors",5,,reconstruction,"Tribune Building I destroyed in 1871 fire","Explicitly designed as a more genuinely fire-resistant replacement, with iron roof and tile, asphalt or artificial-marble floors.","Occupied October 8-9 1872 while final work continued about another month; 72 by 121 feet. Chicagology page rebuilding030 transcribes the contemporary Tribune account.",CHICAG_REBUILD,medium,true
CHI1872-009,First National Bank Building III,"First National Bank restoration",1871,1872,year-only,1872,1883,year-only,redevelopment,demolished,"southwest corner State and Washington Streets",,,,bank,"bank and safe deposit","Edward Burling; Hollingsworth & Coughlin",First National Bank of Chicago,"iron, stone and brick; surviving vaults",4,,reconstruction,"First National Bank Building II fire-damaged in 1871","Reused surviving walls and vaults; contemporary descriptions called it fireproof but Andreas cautions that such claims were unsettled.","Restored in 1872 for about $75,000 of a reported $295,000 total building value; the pre-fire fifth floor was not restored. Chicagology rebuilding177 transcribes contemporary sources.","AND1886V3;CHICAG_REBUILD",medium,true
CHI1872-010,J. V. Farwell & Company Block III,"Farwell Block",1871,1872,exact,1872,1933,approximate,redevelopment,demolished,"northwest corner Monroe and Franklin Streets; extension toward Market Street",,,,wholesale warehouse,"wholesale dry goods",John M. Van Osdel,"J. V. Farwell & Co.","brick masonry; experimental cement wall sections",6,,reconstruction,"Farwell commercial property lost in 1871 fire","Built immediately after the fire; Andreas documents an experimental poured-cement wall method using rubble fill.","First section completed about three months after the fire; a 1872 extension formed a 191-by-235-foot complex. Chicagology rebuilding071 distinguishes the phases.","AND1886V3;CHICAG_REBUILD",high,true
CHI1872-011,Reed Block,"Hibbard & Spencer Building",1872,1872,year-only,1872,1925,year-only,redevelopment,demolished,"northeast corner Lake Street and Wabash Avenue",,,,commercial block,"hardware warehouse and salesrooms","Wheelock & Thomas",J. H. Reed,"pressed brick; plate glass; galvanized-iron cornice",5,85,reconstruction,"Hibbard & Spencer premises destroyed in 1871 fire","Permanent mercantile rebuilding in the fire district.","Contemporary April and October 1872 notices document construction and occupancy; footprint about 48 by 140 feet for the occupied portion. Chicagology rebuilding067.",CHICAG_REBUILD,medium,false
CHI1872-012,Superior Block,"Fowler-Goodell-Walters Block",1872,1872,approximate,1872,1911,year-only,redevelopment,demolished,"75-79 Clark Street opposite Court House",,,,commercial block,"banks and offices",W. W. Boyington,"Fowler, Goodell and Walters","Lake Superior brownstone; central glazed court",4,,reconstruction,,"Promoted in 1872 as fireproof, with fire plugs and hose on each hall; claim is not treated as tested performance.","Nearly complete October 5 1872; three 22.5-foot facades and a central 30-foot glazed court. Chicagology rebuilding098.",CHICAG_REBUILD,medium,true
CHI1872-013,William Blair Building,"Blair hardware building",1872,1872,exact,1872,1941,year-only,redevelopment,demolished,"172-176 Lake Street between LaSalle and Fifth Avenue",,,,warehouse,"hardware warehouse and salesrooms","Burling, Adler & Co.",William Blair & Co.,"St. Louis pressed brick with brownstone trim",5,,reconstruction,,"Masonry mercantile construction within the rebuilt business district.","Contemporary October 1872 notice says just completed; about 60 by 144 feet with deeper basement, steam heat and elevators. Chicagology rebuilding155.",CHICAG_REBUILD,medium,false
CHI1872-014,Armour Building II,,1872,1872,approximate,1872,,,,demolished,"northeast corner Randolph Street and Michigan Avenue; 102 Michigan Avenue",,,,office building,"railroad general offices",,George Armour,,5,,reconstruction,"pre-fire Armour building/site","Post-fire masonry commercial reconstruction; exact code compliance unverified.","A June 1872 notice describes a five-story 90-by-130-foot building; Chicago Burlington & Quincy occupied the upper four stories in December. Chicagology rebuilding008.",CHICAG_REBUILD,medium,true
CHI1872-015,Leander McCormick Building,"McCormick Building at Lake and Wabash",1872,1872,approximate,1872,1949,approximate,redevelopment,demolished,"northwest corner Wabash Avenue and Lake Street",,,,commercial block,"stove and hardware trade",W. W. Boyington,Leander McCormick,brick masonry,,,reconstruction,,"Permanent post-fire mercantile rebuilding.","Contemporary February 1872 notice announced Nos. 34-40 Lake; October coverage illustrates it among McCormick structures. Chicagology rebuilding168.",CHICAG_REBUILD,medium,true
CHI1872-016,Garrett Building II,,1872,1872,approximate,1872,1898,year-only,redevelopment,demolished,"southeast corner Lake and Market Streets",,,,commercial block,"rental property supporting Garrett Biblical Institute",,"Garrett Biblical Institute","brick, iron and plate glass",4,,reconstruction,"Garrett Building destroyed in 1871 fire","Masonry rebuilding in the fire district.","Contemporary notices describe a roughly 130-by-180-foot four-story building, cost about $100,000, with portions ready for tenants in August. Chicagology rebuilding175.",CHICAG_REBUILD,medium,true
CHI1872-017,Oriental Building II,"Oriental Block",1872,1872,approximate,1872,1907,year-only,redevelopment,demolished,"12-18 North LaSalle Street; later 122 LaSalle",,,,commercial block,"offices and commercial tenants",John M. Van Osdel,G. E. Walker,,5,,reconstruction,"Oriental Building I destroyed in 1871 fire","Prominent commercial reconstruction in the burned district.","Contemporary May and October 1872 notices document construction and partial occupancy; final completion date needs directory/permit verification. Chicagology rebuilding042.",CHICAG_REBUILD,medium,true
CHI1872-018,Major Block II,"Roanoke Building I",1872,1872,approximate,1872,1914,year-only,redevelopment,demolished,"southeast corner Madison and LaSalle Streets",,,,office building,"banks, stores and offices","Dixon & Hamilton",Major estate,"Ohio stone; fireproof office vaults",4,,reconstruction,"Major Block I destroyed in 1871 fire","Designed as substantial stone reconstruction with office vaults; direct ordinance inspection not located.","Foundations underway April; intended occupancy October; contemporary October account identifies the completed streetscape. About 66 by 135 feet. Chicagology rebuilding036.",CHICAG_REBUILD,medium,true
CHI1872-019,M. D. Wells & Company Building,,1872,1872,exact,1872,1907,year-only,redevelopment,demolished,"southeast corner Madison and Market Streets; 256-262 Madison",,,,factory and warehouse,"boot and shoe factory and salesrooms",,"M. D. Wells & Co.","Philadelphia pressed brick with Ohio-stone trim",5,,reconstruction,"firm premises destroyed in 1871 fire","Permanent masonry rebuilding in the wholesale district.","Completed by August 1872; cost about $100,000 with steam heat, elevators and power. Chicagology rebuilding131.",CHICAG_REBUILD,medium,false
CHI1872-020,Morrison Building,"E. W. Morrison Building",1872,1872,approximate,1872,1910,year-only,redevelopment,demolished,"northeast corner Clark and Madison Streets",,,,commercial block,"stores and offices",,E. W. Morrison,"Cleveland and Joliet stone",4,,reconstruction,"Morrison commercial buildings destroyed in 1871 fire","Permanent stone-front reconstruction within the fire district.","Plans reported February 1872; later account describes the completed building and about $100,000 cost. Distinct from the Morrison Block on the southeast corner. Chicagology rebuilding217.",CHICAG_REBUILD,medium,true
CHI1872-021,Morrison Block III,"Morrison Hotel I",1872,1872,approximate,1872,1911,year-only,redevelopment,demolished,"southeast corner Clark and Madison Streets",,,,commercial block,"store and offices","Carter & Drake",Mrs. O. Morrison,"Joliet limestone; French Renaissance",4,,reconstruction,"Morrison Block destroyed in 1871 fire","Permanent stone commercial replacement in the burned district.","October 1872 description gives 90 by 100 feet and cost over $100,000; a January 1873 illustration shows completed rebuilt streetscape. Chicagology rebuilding103.",CHICAG_REBUILD,medium,true
CHI1872-022,C. M. Henderson and Company Building,,1872,1872,approximate,1872,1949,approximate,redevelopment,demolished,"southeast corner Franklin and Madison Streets; formerly 235 Madison",329 W Madison St,,,warehouse,"boots and shoes wholesale","Burling & Adler","C. M. Henderson & Co.",masonry,5,,reconstruction,"firm premises destroyed in 1871 fire","Masonry warehouse in the new post-fire wholesale district.","Contemporary September 1872 feature documents the new building; exact completion date and demolition year remain approximate. Chicagology rebuilding097.",CHICAG_REBUILD,medium,true
CHI1872-023,Pike's Block,"Ayer Building",1872,1872,year-only,1872,1955,year-only,redevelopment,demolished,"166-172 State Street; southwest corner State and Monroe Streets",,,,commercial block,"retail and offices",John W. Roberts,E. S. Pike,masonry,,,reconstruction,,"Stone-and-masonry commercial rebuilding opposite the Palmer House.","Featured as a newly erected block in the October 1872 Land Owner; Chicagology rebuilding104.",CHICAG_REBUILD,medium,true
CHI1872-024,Schweizer Block,,1872,1872,approximate,1872,1888,year-only,redevelopment,demolished,"northeast corner Madison and LaSalle Streets; 135 LaSalle",,,,commercial block,"bank, steamship agency and offices",,,,4,,reconstruction,,"Commercial rebuilding inside the fire district.","Shown as a new 1872 streetscape building; formal Anchor Line office opening occurred January 1873, so construction completion remains approximate. Chicagology rebuilding089.",CHICAG_REBUILD,medium,true
CHI1872-025,Robbins Building III,"Crerar, Adams & Co. Building",1872,1872,year-only,1872,1910,year-only,redevelopment,demolished,"11-13 Fifth Avenue and 205-207 South Water Street",,,,commercial block,"railway supplies",John M. Van Osdel,Robbins estate,"cut-stone front; masonry",5,,reconstruction,"Robbins Block destroyed in 1871 fire","Permanent commercial rebuilding in the burned district.","Contemporary November 1872 account calls the 80-by-150-foot building rebuilt for about $100,000. Chicagology rebuilding101 also describes a related Lake Street block and a separate Ohio/Franklin manufacturing complex, not merged here.",CHICAG_REBUILD,medium,true
CHI1872-026,William B. Pierce Building,"Iron Front Building",1872,1872,year-only,1872,1949,year-only,redevelopment,demolished,"335-337 Wabash Avenue; later 512-514 South Wabash",,,,commercial building,"china, glassware, guns and cutlery retail","C. M. Palmer (unconfirmed)",William B. Pierce,"iron front; masonry",4,,new_construction,,"Iron-front commercial construction; relationship to fire limits requires parcel review.","Contemporary June 1872 account says the building had been erected and opened; architect attribution is unconfirmed. Chicagology rebuilding107.",CHICAG_REBUILD,medium,true
CHI1872-027,Chicago Type Foundry II,"Marder, Luse & Co. Building",1872,1872,exact,1872,1894,year-only,redevelopment,demolished,"139-141 Monroe Street between Clark and LaSalle Streets",,,,factory,"type foundry and printing offices",,"Marder, Luse & Co.","brick with stone basement; white Wisconsin-brick front",5,,reconstruction,"Chicago Type Foundry destroyed in 1871 fire","Substantial masonry factory reconstruction in the fire district.","Construction began about March 1 and moving began May 6 1872; 45 by 80 feet. Chicagology rebuilding057/rebuilding108 transcribes the company account.",CHICAG_REBUILD,medium,false
CHI1872-028,Fidelity Savings Bank and Safe Depository II,,1872,1872,approximate,1872,1924,year-only,redevelopment,demolished,"143-147 Randolph Street",,,,bank,"savings bank and safe depository",,,,,,reconstruction,"Fidelity facilities destroyed in 1871 fire","Banking reconstruction in the fire district; specific fireproof systems need verification.","Chicagology rebuilding109 identifies the 1872 building and contemporary banking occupancy; precise completion evidence should be checked in the original newspaper.",CHICAG_REBUILD,medium,true
CHI1872-029,Inter-Ocean Building I,,1872,1872,year-only,1872,1874,year-only,fire,demolished,"Wabash Avenue between Harrison and Congress Streets",,,,newspaper office,"newspaper offices and printing",,"Inter Ocean newspaper",masonry,,,new_construction,,"Located south of the principal burned district; direct code context not established.","Chicagology rebuilding110 identifies the 1872-1874 building; destroyed in the 1874 fire. Original contemporary notice requires image-level verification.",CHICAG_REBUILD,medium,true
CHI1872-030,Grocers' Block,,1872,1872,approximate,1872,1899,year-only,redevelopment,demolished,"southwest corner Wabash Avenue and Lake Street",,,,commercial block,"wholesale grocery trade",T. V. Wadskier,,masonry,,,reconstruction,,"Permanent mercantile rebuilding in the fire district.","Chicagology rebuilding112 gives a 1872 life span start and contemporary directory evidence; exact completion date needs original source review.",CHICAG_REBUILD,medium,true
CHI1872-031,Brevoort House I,"Anderson's European Hotel",1872,1872,exact,1872,1906,year-only,redevelopment,demolished,"north side Madison Street between Clark and LaSalle Streets",,,,hotel,hotel,"Dixon & Hamilton",C. H. Thompson,"masonry; fire plugs and hose",5,,new_construction,,"Contemporary description emphasized fire plugs and two fireproof vaults but complete fire resistance is not inferred.","Opened in November 1872 with 125 sleeping rooms; later hotel identity and a south adjoining A. Crocker building must remain separate. Chicagology rebuilding113.",CHICAG_REBUILD,medium,false
CHI1872-032,Hall's Safe and Lock Company Building,"Windsor European Hotel; Thompson's Restaurant",1872,1872,year-only,1872,1901,year-only,redevelopment,demolished,"147-149 Dearborn Street between Madison and Monroe Streets",,,,commercial building,"safe and lock showroom","Dixon & Hamilton","Hall's Safe and Lock Company",brick masonry,4,,reconstruction,"Hall company building destroyed in 1871 fire","Rebuilt on the old site in masonry; the safe-company use made post-fire fire resistance central to its marketing.","Contemporary June 1872 account says the firm was back on its old site eight months after the fire. Chicagology rebuilding114.",CHICAG_REBUILD,medium,false
