year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1873-001,Reaper Block,,1872,1873,year-only,,1957,year-only,redevelopment,demolished,"northeast corner Clark and Washington Streets","72-84 W Washington Street",,,commercial office block,"stores and offices","John M. Van Osdel","Cyrus H. McCormick",stone-front masonry,6,65,reconstruction,"Larmon Block site","Permanent masonry rebuilding in the burned civic core; later sources calling the building fireproof are not treated as proof of complete fire resistance.","Andreas and Chamberlin list it among 1873 completions; contemporary 1872 evidence shows construction underway. It had about 90 feet on Clark and 75 on Washington before later vertical enlargement.","AND1886V3;CHAMBERLIN1874;CHICAGOLOGY_REAPER",high,false
CHI1873-002,Lakeside Building,"Lakeside Publishing Building",1872,1873,year-only,,1926,year-only,redevelopment,demolished,"southwest corner Clark and Adams Streets",,,,publishing and commercial building,"printing, publishing, offices",Cass Chapman,"Lakeside Publishing and Printing Company","Cleveland sandstone exterior; six stories and basement",6,,reconstruction,"pre-fire Lakeside Building on same site","Rebuilt with an explicit contemporary fireproof objective; Andreas identifies it as a Gothic-revival post-fire building.","Andreas lists completion in 1873. Contemporary 1872 notices transcribed by Chicagology document active rebuilding, dimensions, material, architect attribution, and owner; a 1873 directory confirms occupancy.","AND1886V3;CHICAGOLAKESIDE",high,false
CHI1873-003,Chicago Times Building,"Times Building",1872,1873,year-only,1873,,,,demolished,"corner Washington Street and Fifth Avenue","corner Washington and Wells Streets",,,newspaper office and printing house,"newspaper production and offices","James H. Willett","Chicago Times",masonry newspaper building,,,reconstruction,"pre-fire Times facilities","Andreas presents it as an illustration of efforts toward fire-resistant post-fire construction; the claim is not upgraded to modern fireproof status.","Andreas and Chamberlin list it among 1873 completions; an October 1872 contemporary construction account identifies the architect and corner location.","AND1886V3;CHAMBERLIN1874;CHICAGOLOGY_TIMES",high,false
CHI1873-004,Busby and Stuart Building,"Busby & Stuart Building",,1873,year-only,,,,,demolished,"Crosby's Opera House site; Washington Street between State and Dearborn Streets",,,,commercial building,commercial,,"Busby and Stuart",,,,reconstruction,"Crosby's Opera House site","Permanent commercial rebuilding in the burned district; no direct code-compliance statement located.","Andreas lists it among prominent 1873 completions and explicitly identifies the old Crosby Opera House site.",AND1886V3,medium,true
CHI1873-005,St. James Hotel,,,1873,year-only,1873,,,,demolished,,,,,hotel,hotel,,,,,,reconstruction,"pre-fire St. James Hotel","Permanent hotel rebuilding in the burned commercial core; direct ordinance compliance not established.","Named by Andreas among prominent edifices completed in 1873; the hotel-history chapter was insufficiently specific on address and fabric.",AND1886V3,medium,true
CHI1873-006,Tremont House IV,"Tremont House",1871,1873,year-only,1873,,,,demolished,"Lake and Dearborn Streets",,,,hotel,hotel,"J. M. Van Osdel","Couch estate","Amherst sandstone front; French Renaissance",6,,reconstruction,"Tremont House III destroyed in 1871 fire","Substantial stone-front replacement in the fire district; source does not equate material with complete fireproofing.","Completed two years after the fire and opened in 1873; nearly 50,000 square feet of ground and over 500 feet of frontage; contemporary cost summarized as about $500,000 in Andreas's architecture chapter.",AND1886V3,high,false
CHI1873-007,Sherman House III,"Sherman House",1871,1873,year-only,1873,,,,demolished,"northwest corner Clark and Randolph Streets",,,,hotel,hotel,Charles W. Cregar,"Francis C. Sherman interests","stone fronts on Clark and Randolph",7,,reconstruction,"Sherman House II destroyed in 1871 fire","Masonry replacement in the post-fire business district; no direct ordinance-compliance statement located.","Opened May 1, 1873; approximately 300 rooms and capacity for 500 guests. Andreas's architecture summary gives a cost of about $650,000.",AND1886V3,high,false
CHI1873-008,Grand Pacific Hotel II,"Grand Pacific Hotel",1871,1873,year-only,1873,,,,demolished,"block bounded Jackson, Quincy, LaSalle and Clark Streets",,,,hotel,hotel,"W. W. Boyington; John A. Rice (operational guidance)","Pacific Hotel Company",masonry hotel,6,,reconstruction,"Grand Pacific Hotel I destroyed in 1871 fire","Rebuilding began with urgency before plans were complete; the replacement was larger and costlier, but the source warns that 'fireproof' remained an unsettled claim.","Completed and opened in June 1873. Andreas reports a cost near $1 million in its architecture list and describes the reconstruction as guided operationally by John A. Rice.",AND1886V3,high,false
CHI1873-009,Palmer House II,"Palmer House",1871,1873,year-only,1873,,,,demolished,"State Street frontage between Monroe and Quincy; extending toward Wabash Avenue",,,,hotel,hotel,"John M. Van Osdel","Potter Palmer",masonry hotel,6,,reconstruction,"Palmer House I and foundations surviving the 1871 fire","Andreas treats it as a leading effort to make the new city fire resistant, while explicitly noting that a generally accepted definition of fireproof construction did not yet exist.","Opened in late fall 1873. Andreas reports 76,550 square feet of ground coverage and estimated building cost of about $2 million, plus furnishings; later enlargements must not be attributed to the 1873 phase.",AND1886V3,high,false
CHI1873-010,Clifton House II,"New Clifton House",1873,1873,year-only,1873,,,,demolished,"northwest corner Wabash Avenue and Monroe Street",,,,hotel,hotel,,"W. A. Jenkins and Ira Holmes","fine brick; six stories above basement",6,,reconstruction,"pre-fire Clifton House; temporary Clifton at Washington and Halsted","Brick replacement in the fire district; source gives no ordinance-specific claim.","Completed in the latter part of 1873 and opened that year; 80 feet on Wabash by about 180 feet deep, 225 rooms, building cost $237,400 and furniture $105,000.",AND1886V3,high,false
CHI1873-011,Briggs House II,"Briggs House",1871,1873,approximate,1873,,,,demolished,"Randolph Street at Fifth Avenue",,,,hotel,hotel,,Mr. Moss,"red brick with stone; six stories",6,,reconstruction,"pre-fire Briggs House on same site","Masonry replacement begun immediately after the fire; direct code-compliance evidence not located.","Andreas says construction commenced immediately after the fire and the hotel reopened in 1873, but does not explicitly state the completion year; recorded as approximate and reviewable. Dimensions about 80 by 144 feet; reported building cost $190,000.",AND1886V3,medium,true
CHI1873-012,Revere House II,"Revere House",1871,1873,year-only,1873,,,,demolished,"Clark Street near Kinzie Street, north of the former site across an alley",,,,hotel,hotel,,Thomas Mackin,,, ,reconstruction,"pre-fire Revere House at Clark and Kinzie Streets","Permanent post-fire replacement, shifted to adjoining premises; no code-specific claim.","Erected in 1871-72 and explicitly completed and opened in 1873 by E. S. Pinney. Later remodeling and two added stories belong to 1884, not this record.",AND1886V3,high,false
CHI1873-013,Matteson House,"New Matteson House",,1872,year-only,1873,,,,demolished,,,,,hotel,hotel,,Robert Hill,,6,,occupancy_only,"pre-fire Matteson House","Post-fire hotel, but no 1873 construction event is established.","Finished late in 1872 and opened February 3, 1873. Included only to prevent the architecture-summary wording from inflating the 1873 completion count.",AND1886V3,high,true
CHI1873-014,Brevoort House,"Anderson's European Hotel",,,occupancy-only,1873,,,,demolished,,,,,hotel,hotel,,"unnamed Chicago banker",,5,,occupancy_only,,"No 1873 construction inference is made from opening evidence alone.","Opened by Anderson Brothers in 1873; Andreas says it was built by a prominent banker but gives no construction year. Excluded from completion totals.",AND1886V3,medium,true
CHI1873-015,Alhambra Hotel,,1873,1873,year-only,1873,,,,demolished,,,,,hotel,hotel,,John Keller,"stone front",5,,new_construction,,"Masonry hotel construction; direct code-compliance evidence not located.","Built in 1873 by John Keller and opened October 1 by William L. Newman; 112 rooms. Address and full canonical spelling need directory confirmation because the scan heading is degraded.",AND1886V3,medium,true
CHI1873-016,United States Post Office and Custom House,"Federal Building; Post Office, Custom House and Sub-Treasury",1873,1879,year-only,,,,,demolished,"block bounded Adams, Clark, Jackson and Dearborn Streets",,,,government building,"post office, customs, federal offices",,"United States Government",,,,construction_start,,"Andreas places the start within the post-fire reconstruction of public buildings; later completion must not be counted in 1873.","Construction commenced in 1873. This is a start-year record only; design, contract, and completion details require federal archival follow-up.",AND1886V3,high,true
CHI1873-017,Cook County Criminal Court House and County Jail,"Criminal Court-house and County Jail",1873,,phase,,,,,demolished,"Michigan Street at Dearborn Street",,,,courthouse and jail,"criminal court and incarceration",,"Cook County",,,,construction_start,,"Public masonry reconstruction after the fire; ordinance-specific evidence not located.","Andreas states that the connected courthouse and jail reconstruction commenced in 1873. Completion year and exact parcel geometry remain to be verified from county records.",AND1886V3,high,true
CHI1873-018,Clybourn Place Bridge,"Clybourn-place bridge",1873,1873,year-only,,,,,replaced,"Clybourn Place crossing of the North Branch",,,,movable bridge,transportation infrastructure,,City of Chicago,"combination Howe truss with iron turntable",,,infrastructure,,"A permanent municipal transport improvement; not a building-code case.","Built in 1873; length 140 feet and cost $13,700.",AND1886V3,high,false
CHI1873-019,Inter-State Industrial Exposition Building,"Interstate Industrial Exposition Building; Industrial Palace",1873,1873,year-only,1873,1890,year-only,redevelopment,demolished,"Lake Front at Michigan Avenue and Adams Street",,,,exposition hall,industrial and art exposition,"W. W. Boyington","Inter-State Industrial Exposition investors","large iron-and-glass exposition hall",, ,new_construction,,"A showpiece of post-fire recovery; its construction system and temporary-exposition character should not be generalized to ordinary code compliance.","Opened September 25, 1873. Art Institute archive metadata gives approximately 200 by 800 feet and more than 300 exhibitors; the official catalogue is contemporary evidence.","LOC1873EXPO;AICEXPO",high,false
