year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1877-001,Chicago City Hall foundation phase,"City Hall and County Court House complex; fifth Chicago City Hall",1877,1885,year-only,1885,,,,demolished/replaced,"Original Court House Square; west half of block bounded by Clark, Randolph, LaSalle, and Washington Streets","121 N LaSalle St",,,civic_building,municipal offices,"J. J. Egan (uniform exterior); L. D. Cleveland (city interior and construction supervision); John Shackley (excavation); Mortimer & Tapper (sub-basement)",City of Chicago,"stone and masonry civic complex",,,foundation_and_subbasement_phase,"Court House and City Hall destroyed in 1871; temporary Rookery City Hall occupied 1872-1885","Permanent fire-conscious civic rebuilding on the original courthouse square; exterior coordination with the county emphasized a unified monumental masonry complex.","The City Council ordinance of September 3, 1877 authorized immediate foundation work. Excavation was contracted for $1,483 and the sub-basement for $57,909; later superstructure contracts were awarded in 1878.",ANDREAS_V3,high,false
CHI1877-002,Fuller Street Bridge replacement,"Fuller Street draw bridge",1877,1877,exact,1877,,,,replaced/unknown,Fuller Street crossing of the Chicago River,,,,bridge,road and pedestrian river crossing,G. W. James,City of Chicago,"combination draw or pivot bridge with swing and turntable",,,replacement_after_storm,"Fuller Street bridge destroyed by storm","Municipal bridge replacement used a movable combination structure suited to the post-fire industrial river.","Completed August 4, 1877; 127 feet long, 16.5-foot roadway, 19.5 feet overall, and $4,210 cost.",ANDREAS_V3,high,true
CHI1877-003,North Avenue Bridge construction,"North Avenue swing bridge",1877,1878,exact,1878,,,,replaced/unknown,North Avenue crossing of the Chicago River,,,,bridge,road and pedestrian river crossing,"Conro, Starke & Co.",City of Chicago,"combination swing bridge and turntable",,,construction_start_and_phase,,"Municipal movable-bridge construction supported the rebuilt city's river traffic and street network.","Begun August 28, 1877 and completed in January 1878; 150 feet long, 17-foot roadway, 4-foot sidewalk, 29 feet overall, and $7,149 cost.",ANDREAS_V3,high,true
CHI1877-004,North Halsted Street Bridge,"North Halsted swing bridge",1877,1877,exact,1877,,,,replaced/unknown,North Halsted Street crossing of the Chicago River,,,,bridge,road river crossing,W. B. Howard,City of Chicago,"combination turntable swing bridge",,,new_infrastructure,,"Municipal movable-bridge construction supported the rebuilt city's river traffic and street network.","Begun June 22 and completed October 8, 1877; 140 feet long, 17-foot roadway, 20 feet overall, and $4,190 cost.",ANDREAS_V3,high,true
CHI1877-005,Harrison Street Bridge completion,"Harrison Street wrought-iron swing bridge",1875,1877,exact,1877,,,,replaced/unknown,Harrison Street crossing of the Chicago River,,,,bridge,road and pedestrian river crossing,American Bridge Company,City of Chicago,"wrought-iron turntable swing bridge",,,completion_after_delay,,"Substantial iron infrastructure replaced or extended the pre-fire river-crossing system.","Work began June 22, 1875 but land-condemnation litigation delayed completion until October 23, 1877; 175 feet long, 19-foot roadway, two 4.1-foot sidewalks, 31 feet overall, and $41,848.51 cost.",ANDREAS_V3,high,true
CHI1877-006,Fullerton Avenue Bridge contract and construction,"Fullerton Avenue pivot bridge",1877,1878,exact,1878,,,,replaced/unknown,"Fullerton Avenue at the north city limits; joint City of Chicago-Town of Lake View crossing",,,,bridge,road river crossing,"J. W. Sawin & Co.","City of Chicago and Town of Lake View",pivot bridge,,,contract_award_and_construction_start,,"Joint-jurisdiction infrastructure extended the street network at Chicago's 1877 northern boundary.","Contract awarded October 1, 1877 and bridge completed January 19, 1878; 125 feet long, 17.4-foot roadway, 20 feet overall. Chicago paid two-thirds of the reported $2,970.50 cost share wording, which should be checked in the printed scan.",ANDREAS_V3,medium,true
CHI1877-007,St. Pius Church enlargement,"St. Pius's Church frame edifice",,1877,year-only,1877,,,,demolished/replaced,"Van Horn and Paulina Streets",,,,church,Roman Catholic worship,,St. Pius Catholic parish,frame,,,addition_and_enlargement,,"The frame church lay in the post-1874 citywide fire-limit era; its apparent continued frame use reflects enlargement of existing fabric rather than a new wooden building.","Existing frame church enlarged in 1877 from roughly 300 to 650 seats.",ANDREAS_V3,high,true
CHI1877-008,Jefferson Park Presbyterian Church,"Jefferson-Park Presbyterian Church",1876,1877,exact,1877,,,,demolished/unknown,"Northeast corner of West Adams and Throop Streets",,,,church,Presbyterian worship,,Jefferson Park Presbyterian Church,"brick masonry; amphitheater plan",,,completed_new_construction,"Temporary frame church on the same lot","The large brick church replaced a temporary frame edifice and conformed to the post-1874 citywide fire-limit regime.","Construction began in summer 1876 and the church was dedicated January 6, 1877. Reported cost exceeded $45,000 and seating capacity was 800.",ANDREAS_V3,high,true
CHI1877-009,J. K. Russell & Co. multi-tenant factory,"J. K. Russell factory and planing mill",,1877,early-1877,1877,,,,demolished/unknown,,,,,factory,planing mill plus sash door blind and furniture manufacturing,,"J. K. Russell & Co. and four other manufacturing firms",industrial factory construction,,,new_industrial_construction,"Successive J. K. Russell mills destroyed by fires in 1852, 1856, 1860, 1868, and 1869; interim warehouse factory","Repeated mill fires made this a long-cycle industrial replacement rather than a direct 1871-fire reconstruction.","Completed early in 1877 and occupied by five firms. Andreas reports about 300 workers in the whole building, including roughly 95 in Russell's factory and planing mill; the address of this specific building was not stated in the passage.",ANDREAS_V3,medium,true
CHI1877-010,J. W. Reedy Elevator Manufacturing factory rebuild,"J. W. Reedy elevator works",1877,1877,exact,1877,,,,demolished/unknown,"83-91 Illinois Street",,,,factory,elevator manufacturing,J. W. Reedy,J. W. Reedy,brick masonry,,,rapid_reconstruction_after_fire,"Reedy factory rebuilt after the 1871 fire and burned again October 14, 1877","Rapid industrial reconstruction within the post-fire city; the predecessor was a large brick factory.","Factory burned October 14 and was rebuilt by December 1, 1877. Andreas's compressed business chronology does not supply dimensions or the architect.",ANDREAS_V3,high,true
