source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
ANDREAS_V3,"History of Chicago, From the Earliest Period to the Present Time, Volume III","A. T. Andreas","A. T. Andreas",1886,https://archive.org/details/historyofchicago03andruoft,historical_city_history,"Tier 2","Corporate History pp. 124 and 129; Schools table p. 144; Breweries pp. 576-579; Religious History; manufacturing biographies","2026-08-03","Public domain; Internet Archive scan and OCR.","Near-contemporary synthesis. The school table was verified visually against the scan because OCR lost tabular values."
ANDREAS_V3_REBUILD,"History of Chicago, Volume III: annual rebuilding statistics","A. T. Andreas","A. T. Andreas",1886,https://archive.org/details/historyofchicago03andruoft,historical_statistical_table,"Tier 2","Rebuilding and annual construction table, printed p. 67","2026-08-03","Public domain; Internet Archive scan.","Reports 1,093 buildings permitted in 1879, aggregate frontage, value, height classes, facade materials, and selected uses; aggregate counts cannot identify individual buildings."
LOC_LEITER_HABS,"Leiter Building I, 200-208 West Monroe Street, Chicago, Cook County, IL","Historic American Buildings Survey","Library of Congress",,https://www.loc.gov/pictures/item/il0237/,federal_architectural_survey,"Tier 1","Significance statement, initial and subsequent construction dates, drawings and photographs","2026-08-03","HABS documentation is generally public domain; inspect item credits because copied-source images may have separate restrictions.","Authoritative documentation of the 1879 phase, 1888 addition, cast-iron support system, Jenney attribution, and 1972 demolition."
CITY_LEITER,"Leiter II Building","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1355,municipal_landmark_record,"Tier 1","Related-building history: first Leiter Building at Wells and Monroe","2026-08-03","City web content; verify image reuse terms separately.","Official City page distinguishes the first Leiter Building, built in 1879 and demolished in 1972, from the later Leiter II."
CHICAGOLOGY_LEITER,"Leiter Building I","Chicago Tribune historical transcription and later press clippings","Chicagology",1879-07-20,https://chicagology.com/rebuilding/rebuilding024/,historical_newspaper_transcription,"Tier 3","Chicago Tribune, July 20, 1879; later architectural and demolition clippings","2026-08-03","Underlying 1879 newspaper text is public domain; site layout, compilation, and modern images are copyrighted.","Supplies dimensions, five-story-plus-basement initial design, materials, cost estimate, lessee, architect, and structural interpretation; verify against the original newspaper image before verbatim reuse."
CHICAGOLOGY_FIELD,"Field, Leiter & Co. State Street Store (Singer Building II)","Historical newspaper and directory compilation","Chicagology",,https://chicagology.com/rebuilding/rebuilding064/,historical_compilation,"Tier 3","1878 replacement-building chronology and 1879 purchase/occupancy narrative","2026-08-03","Underlying pre-1929 newspaper and directory text is public domain; compilation and modern presentation are copyrighted.","Used only for the 1879 acquisition, tenant displacement, fit-out, and occupancy event; the replacement building itself is dated 1878."
CHICAGOLOGY_GOVT,"United States Government Building","Historical newspaper and directory compilation","Chicagology",,https://chicagology.com/rebuilding/rebuilding011/,historical_compilation,"Tier 3","Construction chronology and April 1879 temporary west-basement post-office occupancy","2026-08-03","Underlying pre-1929 source text is public domain; compilation and site presentation are copyrighted.","Separates the 1879 partial occupancy from final 1880 completion."
GSA_FEDERAL_CENTER,"Federal Center, Chicago, IL","U.S. General Services Administration","U.S. General Services Administration",,https://www.gsa.gov/real-estate/explore-historic-buildings/find-a-historic-federal-building/federal-center-chicago-il,federal_site_history,"Tier 1","Predecessor federal-building context at the present Federal Center site","2026-08-03","Federal web text generally public domain unless otherwise credited; image credits control reuse.","Official site context; its compressed date language should not override the more detailed construction chronology."
PICTURESQUE_CHI,"Picturesque Chicago and Guide to the World's Fair","J. W. Taylor","Baltimore: R. H. Woodward Company",1893,https://upload.wikimedia.org/wikipedia/commons/5/59/Picturesque_Chicago_and_guide_to_the_World%27s_Fair_%28IA_picturesquechica00baltiala%29.pdf,historical_guidebook,"Tier 2","Central Music Hall description","2026-08-03","Public domain due publication date; Wikimedia Commons/Internet Archive scan.","Corroborates the 1879 erection date, stock-company development, Dankmar Adler attribution, six stories, stone exterior, dimensions, and mixed hall/office/store program."
CHICAGOLOGY_CENTRAL,"Central Music Hall","Inter Ocean historical transcription and later guide excerpts","Chicagology",1879-12-05,https://chicagology.com/rebuilding/rebuilding013/,historical_newspaper_transcription,"Tier 3","Inter Ocean, December 5, 1879; later building descriptions and demolition chronology","2026-08-03","Underlying 1879 newspaper text and historical guide text are public domain; site compilation and modern presentation are copyrighted.","Detailed near-opening inspection documents auditorium, acoustics, ventilation, exits and fire-safety arrangements."
