source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
ANDREAS_V3,"History of Chicago, From the Earliest Period to the Present Time, Volume III","A. T. Andreas","A. T. Andreas",1886,https://archive.org/details/historyofchicago03andruoft,historical_city_history,"Tier 2","Corporate History pp. 129-132; County Institutions pp. 157-158; Religious History pp. 764-812; Stock Yards and industrial chapters","2026-08-03","Public domain; Internet Archive scan and OCR.","Near-contemporary synthesis; OCR was checked against context and exact locators are retained in row notes."
CITY_INDIVIDUAL_LANDMARKS,"Individual Landmarks","Commission on Chicago Landmarks","City of Chicago",2026-04-17,https://data.cityofchicago.org/Historic-Preservation/Individual-Landmarks/uct4-hrvh,municipal_open_data,"Tier 1","Records L-143, L-201, and L-109","2026-08-03","City open-data terms apply; geometry is factual data.","Official landmark-only inventory; not a comprehensive building census."
CITY_HBA,"Haskell-Barker-Atwater Buildings","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1320,municipal_landmark_record,"Tier 1","Year built, addresses, architects, description","2026-08-03","City web content; verify image reuse terms separately.","City page gives the group range 1875-77; the 1875 separation is confirmed by the City Council report and GSA appendix."
CITY_HBA_COUNCIL,"Journal of the Proceedings of the City Council of Chicago, September 5, 2001","Chicago City Council","City of Chicago",2001-09-05,https://chicityclerk-stage.s3.us-west-2.amazonaws.com/s3fs-public/document_uploads/journals-proceedings/2001/090501.pdf,municipal_proceedings,"Tier 1","p. 65811, Haskell and Barker buildings","2026-08-03","Official public record; embedded third-party images may have separate rights.","States both four-story Haskell and Barker buildings were constructed in 1875 by Wheelock & Thomas."
CITY_UNION_GATE,"Union Stock Yard Gate","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1441,municipal_landmark_record,"Tier 1","Year built, address, architect, description","2026-08-03","City web content; Chicago Historical Society images require separate permission.","Official page uses circa 1875 and Burnham & Root."
CITY_WARD,"James Ward Public School","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=11394,municipal_landmark_record,"Tier 1","Year built, address, architect, description","2026-08-03","City web content; verify image reuse terms separately.","Header gives 1874-75; narrative says original section built in 1875 and distinguishes later additions."
CITY_BURLING_ROWS,"Burling Row House District","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/districtdetails.htm?disId=7,municipal_landmark_record,"Tier 1","Address, year built, unit count, description","2026-08-03","City web content; photos credited to City staff and not redistributed here.","Ten-house group; City text identifies masonry construction and post-fire ordinance context."
CITY_FREMONT_ROWS,"Fremont Row House District","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/districtdetails.htm?disId=141,municipal_landmark_record,"Tier 1","Address, year built, unit count, description","2026-08-03","City web content; verify image reuse terms separately.","Twenty-house group designed as a unified composition; City page identifies Edward J. Burling in narrative."
CITY_LINCOLN_ROWS,"Lincoln Avenue Row House District","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=13026,municipal_landmark_record,"Tier 1","Address, year built, developer, description","2026-08-03","City web content; verify image reuse terms separately.","Five-address speculative row-house group built by Andrew McNally."
CITY_DUPONT,"DuPont-Whitehouse House","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1291,municipal_landmark_record,"Tier 1","Year built, present address, architect, relocation narrative","2026-08-03","City web content; verify image reuse terms separately.","Built 1875-76 for Junot Whitehouse and moved one block in 1920."
CITY_LAKE_FRANKLIN,"Lake-Franklin Group","Commission on Chicago Landmarks","City of Chicago",,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1351,municipal_landmark_record,"Tier 1","Group address, date range, architect, description","2026-08-03","City web content; verify image reuse terms separately.","Kent Building completion year is strengthened by the Commission's Near North Side report."
CITY_NEAR_NORTH_REPORT,"Near North Side Multiple Property District Preliminary Summary","Commission on Chicago Landmarks","City of Chicago",2018,https://news.wttw.com/sites/default/files/article/file-attachments/Near_North_Side_MPD_Prelim_Sum.pdf,municipal_designation_report,"Tier 1","p. 17, George H. Edbrooke biography","2026-08-03","Municipal report mirrored by WTTW; verify embedded image rights separately.","Explicitly identifies the Albert E. Kent Building at 175 N Franklin as completed in 1875."
CAC_HOLY_NAME,"Holy Name Cathedral","Chicago Architecture Center","Chicago Architecture Center",,https://www.architecture.org/online-resources/buildings-of-chicago/holy-name-cathedral,institutional_architecture_record,"Tier 2","Original completion date, address, architect, style","2026-08-03","Website content and images are copyrighted; factual metadata only used.","Corroborates Andreas with 1875 completion and Patrick C. Keely attribution."
EOC_CHURCH_ARCH,"Church Architecture","Encyclopedia of Chicago","Chicago Historical Society and Newberry Library",2005,https://www.encyclopedia.chicagohistory.org/pages/1058.html,scholarly_encyclopedia,"Tier 2","St. James, Holy Name, and Moody/Chicago Avenue entries","2026-08-03","Copyrighted reference; facts paraphrased.","Useful independent chronology and style check."
STJAMES_HISTORY,"History","St. James Cathedral","St. James Cathedral",,https://www.saintjamescathedral.org/community/history/,institutional_history,"Tier 2","Great Fire and rebuilding narrative","2026-08-03","Parish website content; verify image reuse terms separately.","Used with Andreas and Driehaus Museum for the 1875 completed reconstruction."
DRIEHAUS_BURLING,"The Nickerson Series: Edward J. Burling","Richard H. Driehaus Museum","Richard H. Driehaus Museum",2020,https://driehausmuseum.org/blog/view/the-nickerson-series-edward-j.-burling,institutional_architecture_history,"Tier 2","St. James and 1875 row-house discussion","2026-08-03","Copyrighted web content and images; facts paraphrased.","Corroborates Burling's 1875 St. James reconstruction and row-house work."
PRES_CHI_OLIVET,"Olivet Baptist Church","Preservation Chicago","Preservation Chicago",2025,https://www.preservationchicago.org/olivet-baptist-church/,preservation_research,"Tier 2","First Baptist construction at 31st and South Park","2026-08-03","Copyrighted site; photos require permission or stated credit.","Corroborates Andreas: begun November 1874 and completed 1875; gives Wilcox and Miller attribution."
NPS_EMMEL,"Emmel Building","National Register of Historic Places","National Park Service",1984,https://www.nps.gov/state/il/list.htm?program=all,federal_register_record,"Tier 1","NRHP 84000283; Chicago, Illinois","2026-08-03","Federal catalog metadata public domain; nomination photographs may carry restrictions.","The nomination's 1875 date and store-and-flat use are summarized by the linked National Register listing and Illinois nomination record."
NPS_WALLER,"William Waller House National Register documentation","National Register of Historic Places","National Park Service",1980,https://npgallery.nps.gov/NRHP/GetAsset/NRHP/64500855_text,federal_register_documentation,"Tier 1","William Waller House nomination reference","2026-08-03","Federal record public domain; historic photographs may carry separate restrictions.","Records the 1875-76 construction range and 1012 N Dearborn address."
KAM_EVOLUTION,"The Evolution of Reform Judaism in Chicago","Union of American Hebrew Congregations","Illinois Digital Archives",,https://www.idaillinois.org/digital/api/collection/p16614coll14/id/16306/download,institutional_history,"Tier 2","Kehillath Anshe Maarabh history; dedication February 5, 1875","2026-08-03","Digitized historical publication; rights status should be verified before redistribution.","Institutional historical source; scan retained in research folder."
FLPS_SINAI,"Sinai Congregation Board Minutes and Illinois Staats-Zeitung abstracts","Newberry Library Foreign Language Press Survey","Newberry Library",1930s,https://flps.newberry.org/?code=iiic&page=3,archival_abstract,"Tier 2","March 6 and March 27, 1876 minutes; April 10, 1876 press abstract","2026-08-03","Abstracts are research aids; consult original minutes/newspaper for publication.","Establishes the April 1876 dedication and that the temple was already erected at 21st and Indiana."
MOODY_HISTORY,"The Moody Church Story","The Moody Church","Moody Church Media",,https://www.moodymedia.org/articles/moody-church-story/,institutional_history,"Tier 2","1873-76 Chicago Avenue Church construction narrative","2026-08-03","Copyrighted site; facts paraphrased.","Corrects an earlier chronology: the roofed basement served for two years and the full building was completed/dedicated in 1876, not 1875."
CITY_CHRS,"Chicago Historic Resources Survey","Commission on Chicago Landmarks","City of Chicago",1995,https://webapps1.chicago.gov/landmarksweb/web/historicsurvey.htm,municipal_survey,"Tier 1","1870s search result set; 785 records returned","2026-08-03","City web content; survey photos require rights review.","CHRS dates most 1870s survivors only to a decade; those records are discovery candidates, not exact-1875 evidence."
CHICAGOLOGY_CYRUS,"Cyrus McCormick Mansion","Chicago Tribune (reproduced by Chicagology)","Chicago Tribune / Chicagology",1875-02-21,https://chicagology.com/rebuilding/rebuilding203/,contemporary_newspaper_transcription,"Tier 2","Chicago Tribune, February 21, 1875","2026-08-03","Historical newspaper text is public domain; site presentation/images may have separate rights.","Contemporary description of the 135 Rush Street mansion; Chicagology is a transcription host and should be checked against microfilm for critical quotation."
MAP_1875_WB,"Chicago map by Warner & Beers, 1875","Warner & Beers","Wikimedia Commons / David Rumsey Map Collection",1875,https://commons.wikimedia.org/wiki/File:1875_Chicago_map_by_Warner_%26_Beers.jpg,historical_map,"Tier 2","Full city map","2026-08-03","Marked public domain on Wikimedia Commons; preserve source credit.","Annual map candidate already downloaded to the decade package."
