source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
"ANDREAS_V3","History of Chicago, From the Earliest Period to the Present Time, Volume III","A. T. Andreas","A. T. Andreas","1886","https://archive.org/details/historyofchicago03andruoft","historical_city_history","Tier 2","Corporate History pp. 104-106; bridge chronology around p. 154; Insurance Interests p. 463; Social Progress p. 417; industrial and theater histories pp. 576 and 666-667; Religious History pp. 749 and 768-779","2026-08-03","Public domain; Internet Archive scan and OCR.","Near-contemporary synthesis. OCR was checked against surrounding text; printed-page locators and apparent internal conflicts are retained for review."
"ANDREAS_V3_PERMITS","History of Chicago, Volume III: annual building-permit table","A. T. Andreas","A. T. Andreas","1886","https://archive.org/details/historyofchicago03andruoft","statistical_table","Tier 2","printed p. 67, 1878 row","2026-08-03","Public domain; Internet Archive scan and local research crop.","Aggregate construction-flow evidence only. The 1,019 reported permitted buildings were not expanded into anonymous database records."
"ARCHDICT_THOMAS","Thomas, Cyrus Pole","Robert G. Hill","Biographical Dictionary of Architects in Canada",,"https://dictionaryofarchitectsincanada.org/node/1354","scholarly_biographical_dictionary","Tier 2","Works in Chicago, 1877-79: Chicago Athenaeum, T. B. Campbell residence, B. R. Chambers block, L. B. Brasher flats, and Daniel Wells block","2026-08-03","Modern reference text is copyrighted; link and paraphrase only.","Project list cites specific 1877-79 Chicago Tribune notices and supplies architect/client attribution."
"NPS_WASHINGTON_SQUARE","Washington Square Historic District National Register of Historic Places Registration Form","Susan S. Benjamin","National Park Service; Illinois Historic Preservation Agency","2003","https://nara-media.s3.amazonaws.com/electronic-records/rg-079/NPS_IL/03000786.pdf","federal_register_nomination","Tier 1","Section 7 p. 4; Section 8 p. 15","2026-08-03","U.S. federal nomination text is generally public domain; embedded photographs may have item-specific rights.","Official nomination identifies the 1878 Misses Grant's Seminary, Newberry Rowhouses, and rowhouse barns as contributing resources."
"CHICAGOLOGY_ARMORY","Illinois National Guard First Regiment Armory I","Chicagology; transcribing Chicago Tribune and city directories","Chicagology",,"https://chicagology.com/rebuilding/rebuilding040/","newspaper_transcription_compilation","Tier 3","Chicago Tribune, July 31, 1878; directory entries; Andreas excerpt","2026-08-03","The 1878 Tribune text is public domain in the United States; hosted images and compilation layout have separate rights.","Contemporary report documents architect, cost, materials, program, and near-completion; page also gives the 1878-1890 lifespan."
"CHICAGOLOGY_ACADEMY","Academy of Music","Chicagology; transcribing Chicago Tribune","Chicagology",,"https://chicagology.com/rebuilding/rebuilding022/","newspaper_transcription_compilation","Tier 3","Chicago Tribune, February 5 and May 5, 1878; opening and later fire chronology","2026-08-03","The 1878 Tribune text is public domain in the United States; hosted images and compilation layout have separate rights.","Documents destruction of the first theater, Oscar Cobb's reconstruction plans, $50,000 cost, 75-by-120-foot size, and September 16 opening."
"OLD_MONROE_1914","Old Monroe Street: Notes on the Monroe Street of Early Chicago Days","Chicago Title & Trust Company","Chicago Title & Trust Company","1914","https://upload.wikimedia.org/wikipedia/commons/4/40/Old_Monroe_street%3B_Notes_on_the_Monroe_street_of_early_Chicago_days_%28IA_oldmonroestreet00mack%29.pdf","historical_street_history","Tier 2","p. 59, Crilly Building","2026-08-03","Public domain; Wikimedia Commons/Internet Archive scan.","States that D. F. Crilly leased the corner in 1878 and erected a five-story printing building; two stories were added in 1888."
"AIC_CRILLY_FINDING_AID","Chicago Architectural Photographing Company records finding aid","Ryerson and Burnham Archives","Art Institute of Chicago",,"https://artic.contentdm.oclc.org/digital/api/collection/findingaids/id/29708/download","archival_finding_aid","Tier 1","Item inventory: Crilly Building (1878), NE corner W. Monroe and S. Dearborn","2026-08-03","Finding-aid text is copyrighted; archival photographs have item-specific rights.","Corroborates date, location, and unknown architect; notes a collection photograph."
"CONGRESSIONAL_RECORD_1878","Congressional Record, House debate on Chicago custom-house and post-office appropriations","United States Congress","U.S. Government Printing Office","1878-06-10","https://www.congress.gov/45/crecb/1878/06/10/GPO-CRECB-1878-pt5-v7-5-2.pdf","federal_legislative_record","Tier 1","Congressional Record pp. 4380-4411, Chicago custom-house and post-office debate","2026-08-03","U.S. federal government work; public domain.","Primary evidence that construction continued in 1878, with $300,000 in the bill plus a $100,000 deficiency appropriation and a stated goal of 1879 occupancy."
"CHICAGOLOGY_GOVT","Government Building and Post Office","Chicagology","Chicagology",,"https://chicagology.com/rebuilding/rebuilding011/","historical_source_compilation","Tier 3","Project chronology; Chicago Tribune April 7, 1879; 1872 design descriptions","2026-08-03","Historical source text may be public domain; hosted images and compilation layout have separate rights.","Corroborates block location, Alfred B. Mullett design, fireproof materials, 1879 partial occupancy, and later demolition."
