year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1878-001,St. Joseph's Catholic Church,St. Joseph Church; German Catholic Church,1876,1878,exact,1878,,,,demolished/unknown,Northeast corner of Market and Hill Streets,,,,church,Catholic worship,,St. Joseph's Catholic parish,brick masonry,,,completion_and_dedication,Temporary post-fire frame St. Joseph's church; pre-fire church destroyed in 1871,Permanent brick rebuilding followed the parish's temporary post-fire frame structure.,"Cornerstone laid in October 1876; dedicated October 6, 1878; reported cost about $40,000.",ANDREAS_V3;ICSJ_PARISH_HISTORY,high,false
CHI1878-002,North Avenue Bridge,North Avenue combination swing bridge,1877,1878,month,1878,,,,replaced/unknown,North Avenue crossing of the Chicago River,,,,bridge,road and pedestrian river crossing,"Conro, Starke & Co.",City of Chicago,combination swing bridge and turntable,,,completion,Earlier crossing at North Avenue,Municipal movable-bridge construction supported the rebuilt city's river traffic and street network.,"Begun August 28, 1877 and completed in January 1878; 150 feet long, with 17-foot roadway, 4-foot sidewalk, 29-foot overall width, and $7,149 cost.",ANDREAS_V3,high,false
CHI1878-003,Fullerton Avenue Pivot Bridge,Fullerton Avenue bridge at north city limits,1877,1878,exact,1878,,,,replaced/unknown,Fullerton Avenue at the north city limits; joint City of Chicago-Town of Lake View crossing,,,,bridge,road river crossing,J. W. Sawin & Co.,City of Chicago and Town of Lake View,pivot bridge,,,completion,,Joint-jurisdiction infrastructure extended the street network at Chicago's northern boundary.,"Contract awarded October 1, 1877; completed January 19, 1878; 125 feet long, 17.4-foot roadway, 20 feet overall. Andreas says Chicago's two-thirds cost was $2,970.50, wording that merits scan verification.",ANDREAS_V3,high,true
CHI1878-004,Eighteenth Street Viaduct,Eighteenth Street viaduct at Lumber Street,1878,1878,exact,1879,,,,replaced/unknown,"Eighteenth Street at Lumber Street over the Pittsburgh, Fort Wayne & Chicago and Chicago, Alton & St. Louis railway tracks",,,,viaduct,grade-separated road and pedestrian crossing,Keystone Bridge Company (superstructure); James Clowry (substructure),"City of Chicago; Pittsburgh, Fort Wayne & Chicago Railway Company contribution",wrought-iron superstructure with two truss-girder spans,,,new_infrastructure_construction,,A permanent iron viaduct reduced street-rail conflicts in the rapidly rebuilding industrial city.,"Work began August 1 or 3, 1878; completed December 18, 1878; put in operation February 7, 1879. Andreas contains conflicting total and substructure costs ($20,409.16/$15,215.16 versus $17,196.56/$10,403.43); the wrought-iron superstructure is separately stated as $11,194.",ANDREAS_V3,medium,true
CHI1878-005,Lincoln Park Permanent Breakwater,Lincoln Park shore-protection breakwater,1878,,unknown,,,,,historic infrastructure/condition unknown,Lake Michigan shore at Lincoln Park,,,,breakwater,shore protection,,Lincoln Park Commission,Netherlands-plan brush mattresses laid in three to five feet of water,,,construction_start_and_phase,,Permanent engineered shore protection replaced temporary expedients and shaped the lakefront land edge.,Andreas states construction commenced in 1878 using the Netherlands plan. Completion date and surviving fabric require park-commission annual reports and georeferencing.,ANDREAS_V3;MAP_1878_EDSALL,high,true
CHI1878-006,Chicago City Hall and Cook County Court House construction phase,City Hall and County Court House complex; fifth Chicago City Hall,1877,1885,year-only,1885,,,,demolished/replaced,"Original Court House Square; block bounded by Clark, Randolph, LaSalle, and Washington Streets",121 N LaSalle St,,,civic_complex,municipal and county government,J. J. Egan (uniform exterior); L. D. Cleveland (city interior and construction supervision); Thomlinson & Reed (cut stone); John Angus (masonry); J. P. Sexton (iron),City of Chicago and Cook County,"stone, brick, granite, and iron civic complex",6,126,superstructure_contract_and_construction_phase,Court House and City Hall destroyed in 1871; temporary Rookery City Hall occupied 1872-1885,Permanent monumental masonry and iron construction on the original civic square embodied long-term post-fire institutional rebuilding.,"On April 17, 1878 the city awarded contracts of $477,693 for cut stone, $90,519 for masonry, and $105,302 for iron work. The joint complex was not ready for occupancy until January-February 1885.",ANDREAS_V3,high,false
CHI1878-007,U.S. Government Building and Post Office construction phase,Chicago Custom House and Post Office; U.S. Government Building,,1880,year-only,1879,1896,year,demolished for replacement federal building,demolished,"Block bounded by Adams, Clark, Jackson, and Dearborn Streets",,,,federal_civic_building,"post office, custom house, sub-treasury, federal courts, pension and internal revenue offices",Alfred B. Mullett (original design); U.S. Treasury Supervising Architect's Office,United States Government,"fireproof stone, iron, and brick",3,177,appropriation_and_active_construction_phase,Federal post office and custom house destroyed in the Great Chicago Fire,Explicitly fireproof federal construction replaced dispersed rented quarters described in 1878 as vulnerable to fire.,"The June 10, 1878 Congressional Record documents active work, a $300,000 bill appropriation plus $100,000 deficiency funding, and a proposed acceleration toward 1879 occupancy. The post office occupied part of the basement in April 1879; the entire building was completed about 1880.",CONGRESSIONAL_RECORD_1878;CHICAGOLOGY_GOVT,high,false
CHI1878-008,First Regiment Illinois National Guard Armory I,First Regiment Armory,1878,1878,year-only,1878,1890,year,converted/replaced after regiment moved,demolished/converted,Jackson Street between Michigan and Wabash Avenues; later 22-26 Jackson Street,,,,armory,"military drill, company rooms, exhibitions, concerts, and rifle practice",Wheelock & Clay,Union Mutual Life Insurance Company of Maine; leased to First Regiment Illinois National Guard,rough-stone Gothic front; iron posts; timber roof; double floors with mortar sound-deadening,3,,new_construction,,Purpose-built masonry and iron institutional construction reflected permanent civic investment after the 1877 labor riots.,"Contemporary report said completion was expected September 1, perhaps ten days later. Reported construction cost was $22,000 against an $18,000 limit, plus about $1,400 for the rear boiler and engine room.",CHICAGOLOGY_ARMORY;ANDREAS_V3,high,true
CHI1878-009,Academy of Music II,Second Academy of Music,1878,1878,exact,1878,1880,exact,fire,destroyed,"83 S. Halsted Street, near Madison Street",,,,theater,stage theater,Oscar Cobb,William B. Clapp (owner); J. K. Emmett (lessee),brick side and rear walls; cut-stone three-story front,3,,reconstruction,"Academy of Music I, destroyed by fire February 4-5, 1878",A rapid but substantially enlarged masonry reconstruction followed a theater fire within the post-fire city.,"Work was planned to begin in early May; the 75-by-120-foot, approximately $50,000 theater opened September 16, 1878. It burned October 12, 1880.",CHICAGOLOGY_ACADEMY,medium,true
CHI1878-010,Chicago Athenaeum and Retail Block,Chicago Athenaeum Building,1877,1878,season,1878,,,,demolished/unknown,48-54 Dearborn Street,,,,mixed_use_commercial_institutional,"retail, classrooms, library, reading room, and gymnasium",Cyrus P. Thomas,McLaren & Wells,pressed brick with brownstone facings and trim,4,,completion_and_occupancy,,A purpose-built masonry educational and commercial block marked permanent cultural reconstruction.,Erected for the Athenaeum's special accommodation; the institution moved in during spring 1878. Andreas gives a 90-by-80-foot plan and a two-story-height gymnasium occupying the upper floors; contemporary project citations place design/construction in 1877.,ANDREAS_V3;ARCHDICT_THOMAS,high,false
