ticket,source_id,cited_by_people,type,citation,date,describes_date,tier,rights_status,url,locator,limitations
T-0442,cpl_augustus_garrett_biography,2,website,"Chicago Public Library. ""Mayor Augustus Garrett Biography.""",accessed 2026-08-31,,4,check_required,https://www.chipublib.org/mayor-augustus-garrett-biography/,biographical text,Institutional retrospective and a strong identity lead for A. Garrett; the full identity is not asserted because the 1835 record prints only an initial.
T-0442,cpl_buckner_stith_morris_biography,2,website,"Chicago Public Library. ""Mayor Buckner Stith Morris Biography.""",accessed 2026-08-31,,4,check_required,https://www.chipublib.org/mayor-buckner-stith-morris-biography/,biographical text,Institutional retrospective and a strong identity lead for B. S. Morris; the project preserves it as a candidate because the 1835 record supplies only initials.
T-0442,cpl_james_curtiss_biography,2,website,"Chicago Public Library. ""Mayor James Curtiss Biography.""",accessed 2026-08-31,,4,check_required,https://www.chipublib.org/mayor-james-curtiss-biography/,biographical text,Institutional retrospective and a strong identity lead for J. Curtiss; not an initials-to-identity bridge by itself.
T-0442,dupage_history_david_brookins,2,book,"History of Du Page County, Illinois. Chicago: O. L. Baskin & Co., 1882.",1882,1830s,3,public_domain,https://archive.org/search?query=%22David+Brookins%22+DuPage,Brookins family biographical sketch,Late county history reporting that David Brookins sold carriages in Chicago before the family moved west. It does not tie him to the post-office return and therefore supplies only a candidate identity.
T-0442,encyclopedia_chicago_biographical_index_d,1,website,"Encyclopedia of Chicago. ""Biographical Dictionary: D."" Chicago Historical Society and Newberry Library.",accessed 2026-08-31,,4,check_required,https://www.encyclopedia.chicagohistory.org/browse/bioD.html,George W. Dole entry,Modern scholarly encyclopedia index. Birthplace is kept distinct from the household record's immediate origin before Chicago.
T-0442,encyclopedia_chicago_medical_pharmaceutical,1,website,"Encyclopedia of Chicago. ""Medical and Pharmaceutical Industries."" Chicago Historical Society and Newberry Library.",accessed 2026-08-31,,4,check_required,https://www.encyclopedia.chicagohistory.org/pages/806.html,"opening paragraph, Philo Carpenter",Corroborates Carpenter's 1832 arrival and early drug business; does not supply a July 1835 household roster.
T-0442,illinois_courts_caton_biography,1,website,"Illinois Courts. ""John Dean Caton."" Illinois Supreme Court Justices biographical directory.",accessed 2026-08-31,1812-1895,4,check_required,https://www.illinoiscourts.gov/courts/supreme-court/illinois-supreme-court-justices/,John Dean Caton biography,"Institutional retrospective. It identifies Caton by full name and legal career; used to corroborate birth and early Chicago chronology, not household composition."
T-0442,lasalle_history_james_mcfadden,2,book,"History of La Salle County, Illinois. Inter-State Publishing Co., 1886.",1886,1831-1835,3,public_domain,https://ldsgenealogy.com/IL/books/History-of-La-Salle-County-Illinois-part-25.htm,James McFadden biographical passage,A competing exact-name candidate whose stated Dayton and Galena chronology conflicts with assuming he is the Chicago letter-list person.
T-0442,mclean_history_jesse_w_fell,2,website,"McLean County Museum of History. ""Jesse Weldon Fell.""",accessed 2026-08-31,,4,check_required,https://mchistory.org/research/biographies/fell-jesse-weldon,"biography, 1834-1835 chronology","Institutional biography places Jesse Fell in Vandalia in winter 1834-35; used to reject, not assert, an expansion of J. W. Fell."
T-0442,mower_history_alanson_vaughan,2,book,"History of Mower County and biographies of its pioneers, including Alanson B. Vaughan.",nineteenth-century county history,later nineteenth century,3,public_domain,https://archive.org/search?query=%22Alanson+B.+Vaughan%22,Alanson B. Vaughan and Lansing Township passages,"Exact uncommon-name lead in later Minnesota records. No source bridge to Chicago's 1835 letter list was found, so no migration or household fact is asserted."
T-0442,papers_abraham_lincoln_clinton,2,website,"The Papers of Abraham Lincoln. ""Clinton, Illinois."" Place record x4009071.",accessed 2026-08-31,,4,check_required,https://papersofabrahamlincoln.org/places/x4009071,"place history, founding in 1835",Edited institutional place record identifying Jesse Fell with Clinton's 1835 founding; evidence against silently expanding Chicago's J. W. Fell to Jesse.
T-0442,papers_abraham_lincoln_james_h_collins,1,website,"The Papers of Abraham Lincoln. ""James H. Collins."" Person record CO15911.",accessed 2026-08-31,1802-1861,4,check_required,https://papersofabrahamlincoln.org/persons/CO15911,person biography CO15911,"Edited institutional person record. The unusual combination of initials, profession and partnership with John D. Caton resolves the newspaper abbreviation to James H. Collins."
