ticket,person_id,person_name,query,date_searched,result,result_summary,sources_returned
T-0442,carpenter_philo,Philo Carpenter,"""Philo Carpenter"" Chicago 1835",2026-08-31,found,"The Encyclopedia of Chicago independently corroborates Carpenter's 1832 arrival and his standing as Chicago's first druggist, but supplies no safer household composition for July 1835.",encyclopedia_chicago_medical_pharmaceutical
T-0442,carpenter_philo,Philo Carpenter,"""Philo Carpenter"" Illinois genealogy",2026-08-31,found,"The Encyclopedia of Chicago independently corroborates Carpenter's 1832 arrival and his standing as Chicago's first druggist, but supplies no safer household composition for July 1835.",encyclopedia_chicago_medical_pharmaceutical
T-0442,caton_john_dean,John Dean Caton,"""John Dean Caton"" Chicago 1835",2026-08-31,found,"An Illinois Courts institutional biography independently places Caton in Chicago in 1833 and as a justice of the peace in 1834; it gives his birth as 19 March 1812 in Monroe, New York.",illinois_courts_caton_biography
T-0442,caton_john_dean,John Dean Caton,"""John Dean Caton"" Illinois genealogy",2026-08-31,found,"An Illinois Courts institutional biography independently places Caton in Chicago in 1833 and as a justice of the peace in 1834; it gives his birth as 19 March 1812 in Monroe, New York.",illinois_courts_caton_biography
T-0442,dole_george_w,George Washington Dole,"""George Washington Dole"" Chicago 1835",2026-08-31,found,"The Encyclopedia of Chicago biographical index identifies George W. Dole as born 29 February 1800 in Troy, New York. Birthplace is not substituted for the record's immediate pre-Chicago origin.",encyclopedia_chicago_biographical_index_d
T-0442,dole_george_w,George Washington Dole,"""George Washington Dole"" Illinois genealogy",2026-08-31,found,"The Encyclopedia of Chicago biographical index identifies George W. Dole as born 29 February 1800 in Troy, New York. Birthplace is not substituted for the record's immediate pre-Chicago origin.",encyclopedia_chicago_biographical_index_d
T-0442,egan_william_b,Dr William Bradshaw Egan,"""Dr William Bradshaw Egan"" Chicago 1835",2026-08-31,no result,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",
T-0442,egan_william_b,Dr William Bradshaw Egan,"""Dr William Bradshaw Egan"" Illinois genealogy",2026-08-31,no result,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",
T-0442,hubbard_gurdon,Gurdon Saltonstall Hubbard,"""Gurdon Saltonstall Hubbard"" Chicago 1835",2026-08-31,no result,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",
T-0442,hubbard_gurdon,Gurdon Saltonstall Hubbard,"""Gurdon Saltonstall Hubbard"" Illinois genealogy",2026-08-31,no result,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",
T-0442,garrett_a,A. Garrett,"""A. Garrett"" Chicago 1835",2026-08-31,found,"A strong candidate is Augustus Garrett, an early Chicago auctioneer later elected mayor. The project record prints only an initial, so the candidate is not merged without an independent initials-to-name bridge.",cpl_augustus_garrett_biography
